ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,3.479173393606716,3.530003313618974,3.4608337411701595,3.505315244203256,3.379980878807651,3.7799759097711427,3.5602870122043626,3.4788629337349932,3.4357955109052067,1.529999955071728,0.8,1.149998955094355,1.2642328914687735,1.8330536911061983,3.669587050198212,3.7508305598883043,4,2.830017885169909,3.2599814298978647,3.3500010082881286,3.30153463159531,3.4297855560358186,5.862413042496587,4.129995320542816,5.769985334854164,5.719305806552664,5.394951077839694,0,1.6199987237572586,5.7699046135876975,1.1492801960984556,5.26152522846946,9.000020391101325,9,8.839964163652652,8.939992920302984,9.000024333268444,8.619982608882353,8.999987710458399,8.776562596611676,8.923612412916954,8.84015029522276,8.980700999344393,9.000011442364215,9,0.22000225971678217,0.3700023657440265,0.3451626637352712,0.4500015276038007,0.31594130864675296,0.35368334783063093,0.7100013181308904,1.06,1.2154709662078935,0.5100223755360805,0.5400022626548812,2.6134813004481474,0.6199912401451633,0.8948226008423174,2.3500108648413733,2.569977042768472,2.649996740854476,1.8099987213911266,1.5000413804518746,1.126228814092218,7.200420075171347,3.507603543418777,8.999953797819257,9.020001904576535,9.019917679908211,1.5124664816295805,0.6590431486728237,0.979991338241663,0.8500036886757655,1.0899954693356397,0.9599973768771723,2.420009490090156,0.8200202783666697,0.6727172039183894,0.6928298609768198,0.42999852475068284
ALB,3.636969840836994,3.58,3.5400127748882197,3.738055934629961,3.380039224231859,3.890206956966091,3.46550503302663,3.4788629337349932,3.4357955109052067,1.4892735079688177,0.6999997525842574,0.8600057121096725,1.2642328914687735,1.8330536911061983,3.669587050198212,3.7508305598883043,3.9899954924746313,2.8599984491658725,3.040071414401904,3.389997776261205,3.30153463159531,3.4718107877479296,5.25601035471522,4.459977369785013,5.670038585879653,5.719305806552664,5.394951077839694,0,3.5400093589143657,5.886280076971867,1.1500004921792715,5.26152522846946,8.840491543983454,8.84001898018031,8.83995957674474,8.84001898018031,8.955965460416285,8.6203719565902,8.953060410890894,8.776562596611676,8.923612412916954,8.840187370726365,8.980700999344393,9.000069524107484,8.839981911560452,0.17999971231921058,0.39999951240680875,0.31616044784864716,0.46999967839569473,0.29,0.32,0.7099934588269496,0.8900004125242357,1.2154709662078935,0.52,0.5,2.770013917960745,0.6699999842445995,0.5508227727910419,2.9100033361682933,1.0900034054259788,3.7599949965452337,2.1499961384328903,1.317484416495748,1.2702650961741917,7.170087251404146,3.4499498129391366,9.000016820292,9.020001904576535,9.019917679908211,1.4299924738616898,0.5382478335263128,1.190029985007496,0.8999952761112947,1.3900039537642164,0.9600599541527066,0.8400040275889845,0.8200023285597859,0.860003173931443,0.6928298609768198,0.42999852475068284
ARE,3.4193665013971373,3.5800013661162478,3.4608337411701595,3.65,3.379980878807651,3.7953920660166665,3.46550503302663,3.4788629337349932,3.4357955109052067,1.5999789323993363,0.7000004468934204,0.8600133649791459,1.2642328914687735,0.6699903660886319,3.669587050198212,3.7508305598883043,3.9899996392442807,2.8598890402958927,3.039950890931413,3.3899872201998296,3.52,3.6065483710128805,5.637857827382469,4.459810203585043,5.6699781824169495,5.719305806552664,5.394951077839694,0,3.5400010822594488,6.310063267182177,1.1500384221311475,5.26152522846946,8.839977407717814,8.840018980180313,8.8400007281796409,8.840033093245085,8.955965460416285,8.6203719565902,8.839808581393461,8.776562596611676,8.923612412916954,8.83974932855864,8.980700999344393,9,8.839964163652654,0.1799997826023943,0.3999983712647672,0.4540452194219245,0.469998897356105,0.29000350977952205,0.32000313038034117,0.7100058870985325,0.8900007311697671,1.2154709662078935,0.5200018024716393,0.5,2.76999522502089,0.6700002498105603,0.6260293863648483,2.9099891463003855,1.0899984655516342,3.687415378265109,2.150000438213375,1.5986095275863779,1.2851891386766316,7.170193740685544,3.4499498129391366,9.000034762053742,9.020001904576535,9.019917679908211,1.449199214561723,0.7063580757714062,1.189994581903558,0.9000006459489313,1.3900041071978644,0.9600149360550145,0.8399926076510811,0.8200143789403826,0.8600056010206305,0.6928298609768198,0.42999852475068284
ARG,3.4761919862648734,3.500993115953882,3.4608337411701595,3.408847913343733,3.379980878807651,3.3800464550381597,3.46550503302663,3.4788629337349932,3.4357955109052067,1.3340097492114609,0.878200379025807,1.1359994008836967,1.2642328914687735,1.8330536911061983,3.669587050198212,3.7508305598883043,3.971998451462248,2.829992078483943,3.039967150287435,3.273999269984183,3.30153463159531,3.426411793719246,6.134678771393071,3.9667282005133786,5.7327713201847965,5.719305806552664,5.394951077839694,0,3.5401083594726797,6.309981506715983,1.150016425156039,5.26152522846946,8.99994632385502,8.99990875079843,8.999990419957145,8.99990875079843,9.000101389029707,8.6203719565902,8.982236281786104,8.999918890420957,8.923612412916954,9.000024333268444,8.980700999344393,9.000045625294664,8.932923104346283,0.1800006714267288,0.3949990075401821,0.2787056332169777,0.41939927793914056,0.262202238980178,0.28239586047723636,0.6606820499541809,0.9976042419011044,1.2154709662078935,0.5826989918802371,0.45480172350836195,2.6134813004481474,0.690681165987011,0.5631839702970012,1.3010002917566446,1.516015422258471,1.5780022589119151,1.7260007893457887,1.2162260297073428,1.3576064053422106,7.4700184967210355,2.498053291154642,8.991085056962724,9.020001904576535,9.019917679908211,1.5399974925270707,0.5710000204148007,1.1740132177287335,0.8952157727836757,1.0559598900210254,0.8689959796868388,0.8390049415992812,0.7550117516936264,0.8467157881478682,0.6928298609768198,0.42999852475068284
ARM,3.419367112387179,3.5799816323647153,3.4608337411701595,3.649990266692622,3.3799616753353408,3.8900041714464493,3.46550503302663,3.4788629337349932,3.6699826270823745,1.4892735079688177,0.7000002202609211,1.052925469025267,1.2642328914687735,1.8330536911061983,3.669587050198212,3.7508305598883043,3.9900004145429766,2.8600339705829203,3.0400414033558514,3.3172127032121486,3.30153463159531,3.4297855560358186,6.371699138478009,3.9667282005133786,5.669929489838241,5.719305806552664,5.394951077839694,0,3.539970363437841,6.309981506715983,1.1500017548169725,5.26152522846946,8.839964163652652,8.983315180687896,8.8400262505899,8.939992920302984,8.955965460416285,8.6203719565902,8.953060410890894,8.6199547873593,8.923612412916954,8.840033093245085,8.980700999344393,8.99990875079843,8.839946567327049,0.18000013158488354,0.4,0.28856302230110986,0.46999872647655244,0.29000372995151064,0.3199946838715913,0.7100461337189286,0.8899995400677633,1.2154709662078935,0.5200011349886603,0.4999862368906383,2.7699044053746906,0.6699989882275379,0.49434959664928,2.909995391898119,1.0899950876043885,3.759994395256986,2.150003946329913,1.317484416495748,1.2266562895223272,7.170039662361436,3.4500492754681167,8.999963980405342,9.020001904576535,9.019917679908211,1.4347526330839167,0.5157834907749299,1.1899604858773598,0.9000000000000001,1.3900010059350165,0.9599653754598572,0.8399982479961455,0.7932226166995019,0.8600031739314431,0.6928298609768198,0.42999852475068284
ATG,3.47619335914442,3.5010012511330855,3.4608337411701595,3.408839909522038,3.379980878807651,3.3799911812258094,3.46550503302663,3.4788629337349932,3.4357955109052067,1.33399170452301,0.8781986781098945,1.1360038421174337,0.9035832307393249,1.8330536911061983,3.669587050198212,3.7508305598883043,3.97200127051005,2.8299933877011245,3.0399796282149225,3.2739037214763385,3.1098180279305967,3.4297855560358186,5.170775011551966,3.626107442678435,5.998638047504904,5.719305806552664,5.394951077839694,0,3.5399625643425363,5.886280076971867,1.1499441340782124,5.26152522846946,9,8.99990875079843,8.873407108741311,8.939992920302984,8.99990875079843,8.6203719565902,8.953060410890894,8.776562596611676,8.923612412916954,8.999767026481322,8.980700999344393,9.000101389029707,9.000041954227937,0.17999861920930904,0.39499969631547854,0.31245469797839404,0.41939988080969764,0.2622034189011492,0.2823913845505174,0.7099837682002084,0.9976067215479929,0.8960973327094057,0.5826976227266745,0.45480532487585024,2.769997707999083,0.6906982636919774,0.6226964587882394,1.300997363059461,1.515994454571128,1.5780004669453078,1.7259989250291017,1.317484416495748,1.2914958596709587,7.288494047861634,2.4979773093652096,8.991029633142928,9.020001904576535,9.019917679908211,1.4902620012949919,0.6197702824379807,1.174000633799629,0.8951996171268936,1.0559979618100694,0.8689967236264848,0.8389907838306414,0.7549906341985549,0.8466994680186818,0.6928298609768198,0.42999852475068284
AUS,3.636969474207259,3.580003771221539,3.4608337411701595,3.738049892818406,3.3800615946161745,3.8900859531378784,3.46550503302663,3.4788629337349932,3.4357955109052067,1.6,0.7000003916047768,0.8599898612255243,1.2642328914687735,1.3683865288015051,3.669587050198212,3.7508305598883043,3.990001655061533,2.8600000804851646,3.039957737008933,3.389907838306415,3.520021900141438,3.671204067665052,5.9143197060177135,4.460118089103597,5.670001629460648,5.719305806552664,5.394951077839694,0,3.539953855652682,5.886280076971867,1.1499906809145128,5.26152522846946,8.840001604396045,8.83981645635624,8.839984426708195,8.840002471958718,8.839957811907471,8.6203719565902,8.840005591494716,8.619963013431963,8.840033093245085,8.840060304697419,8.980700999344393,9.000069524107484,8.839903275846336,0.1799999031738014,0.39999999999999997,0.3686758787349815,0.4700000592532901,0.29,0.3199958679108846,0.7099686028257457,0.8899997887725573,1.2154709662078935,0.5200009803695417,0.5,2.7699478568761147,0.6699979289771351,0.6046993144629375,2.9100018406154002,1.0899977677279604,3.759999106834946,2.1500003827321463,1.3300016121231664,1.2087920010453792,7.170028229339045,3.4499498129391366,8.99996788868076,9.020001904576535,9.019965689674052,1.4300009906755364,0.4762481206412312,1.1900328587075575,0.9000023342125535,1.3899904110860217,0.96,0.8399962403659376,0.8200210010500525,0.860007910088659,0.7299936125558901,0.42999852475068284
AUT,3.636970261512617,3.579992461962667,3.5400666129302087,3.738062983782938,3.380004328067518,3.8899957651898607,3.46550503302663,3.4788629337349932,3.4357955109052067,1.4892735079688177,0.7000004173814324,0.8599986481462706,1.2642328914687735,1.8330536911061983,3.669587050198212,3.7508305598883043,3.9900008603890202,2.8600063655016896,3.0399911130859807,3.390068197099222,3.5199192358468587,3.4585909597304174,5.85704021551498,4.460031163952272,5.669945695717974,5.8399780038493265,5.394951077839694,0,3.5401252134319865,6.309996771159434,1.1500102817191034,5.339955668664313,8.839945961319682,8.840491543983454,8.840029008838131,8.839997768559805,8.955965460416285,8.6203719565902,8.839891391435948,8.619938754678463,8.83985765124555,8.840013644891693,8.980700999344393,8.999975503405025,8.83995855913293,0.17999913342920631,0.4000009627442061,0.326979970045407,0.46999950025668635,0.2900008325701441,0.32,0.7099947671376242,0.8899998543880172,1.2154709662078935,0.5200000916682008,0.4999839532719279,2.769997707999083,0.6700014378781343,0.5443969214849214,2.9099991090123405,1.089973344269018,3.7600007821579564,2.150002098812072,1.2847173436666968,1.1642219830613725,7.169986245212795,3.4499959760075365,9.000006500450157,9.020001904576535,9.019917679908211,1.4369297316711211,0.50400533858258445,1.1900097943192949,0.9000251825736589,1.3899996811122806,0.9600251596671182,0.8399943024677436,0.8199917046868519,0.8600122661760196,0.7300031285848368,0.42999852475068284
AZE,3.4193662237998255,3.58001284261043,3.540022630214987,3.649998113252855,3.3798909869573683,3.8902069569660918,3.46550503302663,3.4788629337349932,3.6486798593249694,1.4892735079688177,0.6999997973067471,1.052925469025267,1.2642328914687735,1.8330536911061983,3.669587050198212,3.7508305598883043,3.9899982780740624,2.859966171103,3.0400186880411133,3.3172127032121486,3.30153463159531,3.4297855560358186,6.281177191440611,3.9667282005133786,5.670038585879654,5.719305806552664,5.394951077839694,0,3.539903137502632,5.886280076971867,1.1499716116473355,5.26152522846946,8.839923524810985,8.983315180687896,8.84005292534181,8.939992920302984,8.955965460416285,8.6203719565902,8.953060410890894,8.619921889257949,8.923612412916954,8.839727471814422,8.980700999344393,8.99997582789461,8.84001898018031,0.1800002227375646,0.4000004321315754,0.28345795635209114,0.4699932361802865,0.2899985853727543,0.32001180637544274,0.7099973835065768,0.8900047715343892,1.2154709662078935,0.5200011207071662,0.5,2.769971254763019,0.6700000974054438,0.630281090499455,2.9100048910385303,1.0899998854380277,3.7599357556090927,2.1500029385836026,1.317484416495748,1.1409564826727574,7.170032081524816,3.4500547511862756,8.999895713838773,9.020001904576535,9.019917679908211,1.4310400369182132,0.49494095981506797,1.1900366067165369,0.9000240134475306,1.3899848776464117,0.9599930174246992,0.8400189801803116,0.7932226166995019,0.6727172039183894,0.6928298609768198,0.42999852475068284
BEL,3.636970212242103,3.5799954213047553,3.539993742830326,3.7380894108276954,3.379947229551451,3.8900697799248527,3.46550503302663,3.4788629337349932,3.4357955109052067,1.4892735079688177,0.7000001837865356,1.052925469025267,1.2642328914687735,1.8330536911061983,3.669587050198212,3.7508305598883043,3.9899994238551555,2.8600053045037765,3.0400347624565467,3.3900136266303287,3.519966593460979,3.5655387755188097,5.924940227121196,4.460092468670155,5.670007452131462,5.719305806552664,5.080045260429974,0,3.5400176129299625,5.886280076971867,1.150015642924184,5.26152522846946,8.840020148044324,8.839766402043981,8.839935848987041,8.83995957674474,8.955965460416285,8.6203719565902,8.840015488719896,8.620201384518564,8.84001898018031,8.84009995507637,8.980700999344393,8.999926263203495,8.839994061022988,0.17999972114683013,0.4000067380904252,0.44152434346774155,0.4699998711887986,0.29000732341725804,0.320008570291696,0.7099964676792652,0.8900042519364798,1.2199972155188417,0.5200004670505562,0.4999845090931623,2.769913174782937,0.6699981750061729,0.5470837676420134,2.910000079720023,1.0900071532982927,3.7600018303255527,2.149998995419111,1.4907001401718003,1.5874176682896983,7.170017318340367,3.4499954768394514,8.999996883006776,9.020001904576535,9.019882816252041,1.4306608121291475,0.477147657024103,1.190003826151034,0.9000095259263963,1.3900095176690923,0.9599581744372002,0.8400069111485465,0.8199900455324719,0.8599953789841062,0.7299980533385244,0.42999852475068284
