ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,0.2658942969587212,0.20000200825392364,0.21968908271367854,0.21099259990133204,0.3800004285374834,0.559988319889039,0.4057307287022777,0.23959816056045707,0.13444326093193726,0.24000008985654403,0.175,0.5200000439960272,0.2617774305792236,0.17510332288194078,0,0,0,0,0.02,3.9500050414406425,1.6375710537880652,3.4554684472282,0.458751152595093,3.810014038371549,1.1,2.2699971159969725,1.620031390298208,0,0.2700019143641121,0.9699970800077866,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21249811690268153,0.16000315432536866,0.5836485476449226,0.20999663927163853,0.08916542148175827,0.101281258699464,0.16999934093455482,0.18999999999999997,0.21856707134894976,0.03,0.1199994097422049,0.16221412355665607,0.019999374296083096,0.2854389309982996,0.07000036216137911,0.017294872884958765,0.02499981893635975,0.14000015042457337,0.08,0.8064190523301878,0.030000552730488614,0.04079406234699368,0,0,0,0.5338923648680435,0.09968275888404882,0.09000433087916847,0.09000073773515307,0.09000370690720376,0.07999868843858614,0.37000401503814284,0.1600055304636372,0.07000179712363817,0.1499997293096449,1.7999986017700382
ALB,0.2622723708741965,0.07,0.22999361255589013,0.44539846626280744,0.3800010895619961,0.559988319889039,0.3043800196845346,0.23959816056045707,0.13444326093193726,0.251493979140505,0.17999990103370297,0.11000095201827875,0.2617774305792236,0.17510332288194078,0,0,0,0,0.020000396746677244,3.9900008434871292,1.6375710537880652,1.9880117933458272,0.722693781695048,3.7500456254334416,2.400015642924184,2.2699971159969725,1.620031390298208,0,0.2599906410856341,1.1288837651272834,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000035960098673,0.19000043883387213,0.29274015015297744,0.2399989994532727,0.08,0.1,0.16999781960898322,0.20000206262117898,0.21856707134894976,0.03000045835816107,0.17999427453599887,0.14999616434152702,0.039999810935193315,0.05946559324464877,0.06999844938656793,0.1800001335461168,0.040000238259750784,0.07000163043944634,0.06757167767340407,0.06746611988271686,0.030000353244551203,0.039999999999999994,0,0,0,0.46999884045805823,0.0301081269006417,0.15000220477996296,0.07999905522225896,0.08000093029746262,0.0800035267148651,0.3699994965513769,0.1600011642798929,0.07000105797714769,0.1499997293096449,1.7999986017700382
ARE,0.42547459856628034,0.07000037786194088,0.21968908271367854,0.19,0.3800004285374834,0.557838066015384,0.3043800196845346,0.23959816056045707,0.13444326093193726,0.2700076370052406,0.17999973186394777,0.11000069129202479,0.2617774305792236,0.140004816955684,0,0,0,0,0.02000033181803099,3.9899891565331886,2.74,5.017668564684796,0.3771413107878036,3.7499391678157195,2.399989022599723,2.2699971159969725,1.620031390298208,0,0.25999737165562503,1.150002703725734,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000072465868575,0.19000010858234884,0.3103009135944194,0.23999963245203498,0.08000063814173128,0.1,0.1699997819593136,0.2000010445282388,0.21856707134894976,0.029999887345522547,0.18000000000000002,0.15,0.04000049962112065,0.1441420810784801,0.07000012475516798,0.17999693110326836,0.03979377377600821,0.07000020449957493,0.07317268130669707,0.08237554794873013,0.03000059612518629,0.03999954375399215,0,0,0,0.48325141172859487,0.026957342683193854,0.15000000000000002,0.08000077513871753,0.08000051339973303,0.0800012446712512,0.37000554426168913,0.1600016591085057,0.0700003111678128,0.1499997293096449,1.7999986017700382
ARG,0.2622724862892157,0.0699994859164474,0.21968908271367854,0.445393756682383,0.3800004285374834,0.5600044242893485,0.3043800196845346,0.23959816056045707,0.13444326093193726,0.2700002205703951,0.1799996778817504,0.11000120975407429,0.2617774305792236,0.17510332288194078,0,0,0,0,0.019999999999999997,4.440077868353814,1.6375710537880652,4.386310826490292,0.7591197660345229,3.724189589825123,2.0361806651518486,2.2699971159969725,1.620031390298208,0,0.2599969290837702,1.1500024333268444,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000026503686661,0.18999952261426478,0.24208443243268427,0.23999927612946426,0.08000040598008668,0.09999999999999999,0.17000101544060256,0.20000176158683744,0.21856707134894976,0.03000129800827841,0.18000438180092018,0.16221412355665607,0.04,0.07540060748856489,0.07000050383677563,0.18000296581893677,0.03999987309483623,0.07000061973429708,0.07000527406778222,0.048425402546696396,0.030000000000000002,0.04000060834651418,0,0,0,0.46999940612483254,0.027991348598943405,0.15000303158915906,0.08999954042005608,0.05,0.08000158696572153,0.3700022461814915,0.15999585234342595,0.07000440833805655,0.1499997293096449,1.7999986017700382
ARM,0.42547476384476696,0.06999952903499271,0.21968908271367854,0.1899941600155733,0.3799981750159686,0.5600036500156429,0.3043800196845346,0.23959816056045707,1.6542596489674845e-5,0.251493979140505,0.17999942732160518,0.2037003350841676,0.2617774305792236,0.17510332288194078,0,0,0,0,0.02,3.374144621944101,1.6375710537880652,3.4554684472282,0.8982751062632434,3.724189589825123,2.4000000000000004,2.2699971159969725,1.620031390298208,0,0.259998440180939,1.1500024333268444,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000018797840503,0.19000070984075906,0.2976843304586002,0.24000039185336847,0.0800007992753237,0.09999999999999999,0.17000619706672176,0.19999386757017798,0.21856707134894976,0.030000182408891823,0.17999944947562554,0.1499983287652918,0.04000091385899809,0.07900964346444948,0.07000125675505843,0.18000654986081543,0.04000035029643836,0.07,0.06757167767340407,0.6588826734118104,0.03000101698362656,0.04000073000693506,0,0,0,0.473280089309764,0.030728716764793603,0.14999756085662713,0.08000000000000002,0.0800020118700332,0.07999711462165476,0.36999401398683074,0.1599991444877756,0.07000105797714769,0.1499997293096449,1.7999986017700382
ATG,0.2622727781830731,0.07000141312552347,0.21968908271367854,0.44538544674970326,0.3800004285374834,0.5600044093870952,0.3043800196845346,0.23959816056045707,0.13444326093193726,0.27000197511356905,0.18000065765676893,0.11000017787580711,0.229997408151364,0.17510332288194078,0,0,0,0,0.02,4.4400173566797685,2.7400021159542955,3.4554684472282,0.5759603338541822,3.749875568238378,2.4000326868598822,2.2699971159969725,1.620031390298208,0,0.26,1.1288837651272834,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000094144819837,0.19000160124565868,0.308931272092936,0.23999989381710263,0.08,0.1,0.16999781960898322,0.19999999999999998,0.22,0.029999853766250226,0.17999624420982346,0.1900011460004584,0.040000241321476414,0.16459513316750488,0.06999832333260508,0.1799953788092732,0.03999981688419298,0.07000038182026447,0.06757167767340407,0.15227660476659163,0.03000010503414577,0.04000060832801046,0,0,0,0.5060064427176721,0.028976917887069954,0.14999547285979448,0.08999966609903502,0.0499996733669983,0.0799977612165205,0.36999270006387436,0.16,0.07000174829541198,0.1499997293096449,1.7999986017700382
AUS,0.26227270957571136,0.06999993265675823,0.21968908271367854,0.44539546164948635,0.38000456256416104,0.5600082420817143,0.3043800196845346,0.23959816056045707,0.13444326093193726,0.269998024886431,0.1800001566419107,0.10999936632659527,0.2617774305792236,0.16649117053045864,0,0,0,0,0.02,3.990023420628403,2.7400118625766123,3.914498267990738,0.38674686390922836,3.7500805152979066,2.4,2.2699971159969725,1.620031390298208,0,0.25999740031846097,1.1288837651272834,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14999991931150117,0.19000116497744937,0.3369676851731765,0.23999952597367968,0.08,0.1,0.16999607535321823,0.19999718363409774,0.21856707134894976,0.02999930797444119,0.1800036066091112,0.14999792533989847,0.0399998237427349,0.1531839126834882,0.07000050775597248,0.17999966929303118,0.039998908353822374,0.07000043376309902,0.06757167767340407,0.05288750005632432,0.030000000000000002,0.039999999999999994,0,0,0,0.4699995920062968,0.0280234825690413,0.1500039117508997,0.08000046684251068,0.07999938136038852,0.08,0.3700106522965098,0.16,0.07000098876108236,0.1499954375399215,1.7999986017700382
AUT,0.26227237210698895,0.06999960326119299,0.2299971103980047,0.4453939064238907,0.38000144268917263,0.560003226522011,0.3043800196845346,0.23959816056045707,0.13444326093193726,0.251493979140505,0.17999991652371353,0.11000033796343235,0.2617774305792236,0.17510332288194078,0,0,0,0,0.02,3.990010565747767,2.739923895317232,3.1101260582900636,0.7038335579632615,3.750026681465987,2.3999821953173686,2.269956924204931,1.620031390298208,0,0.2600075886928477,1.150000701921862,0,1.1299564896149743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14999927785767192,0.18999997593139487,0.3920211609660264,0.23999945482547602,0.08,0.09999999999999999,0.16999476713762426,0.19999805850689473,0.21856707134894976,0.029999946526882846,0.17999935813087714,0.15,0.04000011060601033,0.07615689208611115,0.06999821802468036,0.18,0.03999972794505851,0.07000137921936184,0.07606232112597562,0.18867951118067552,0.029999595447435135,0.03999990531782439,0,0,0,0.47478536107091696,0.028712387928030613,0.15000108825769942,0.08000143900420909,0.07999936222456074,0.08000193535900908,0.3699953707550417,0.15999585234342595,0.06999923336399877,0.15,1.7999986017700382
AZE,0.425474939997026,0.07000067592686472,0.2300032850312078,0.18999886795171297,0.3799883200311466,0.559988319889039,0.3043800196845346,0.23959816056045707,0.026628523437089914,0.251493979140505,0.17999971622944608,0.2037003350841676,0.2617774305792236,0.17510332288194078,0,0,0,0,0.0200005840012848,3.374144621944101,1.6375710537880652,3.4554684472282,0.8858424043386218,3.724189589825123,2.3999721903570066,2.2699971159969725,1.620031390298208,0,0.25999157717414195,1.1288837651272834,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000004283414703,0.1899996110815821,0.20055914927830026,0.2399926212875853,0.07999717074550856,0.1,0.1700007135891154,0.2,0.21856707134894976,0.029999929955802113,0.17999904575599981,0.14999665753058358,0.04000116886532399,0.0860380875430407,0.07000113630188083,0.1799997708760554,0.04000032777750463,0.07000293858360271,0.06757167767340407,0.05600899509227735,0.030000629049506195,0.04000060834651418,0,0,0,0.47071886338570973,0.029283331400566555,0.1500026526606186,0.08000080044825102,0.08000068737970854,0.0799996826102136,0.37000401503814284,0.1599991444877756,0.07000179712363817,0.1499997293096449,1.7999986017700382
BEL,0.26227230234785853,0.06999788343333031,0.2300031285848368,0.44539899695935153,0.37999560246262093,0.5599999999999999,0.3043800196845346,0.23959816056045707,0.13444326093193726,0.251493979140505,0.18000007351461425,0.2037003350841676,0.2617774305792236,0.17510332288194078,0,0,0,0,0.020000579374275785,3.989974693400818,2.7399857712889357,4.401410900534886,0.6661430851846172,3.750091251977126,2.4000425836083528,2.2699971159969725,1.6200313902982078,0,0.2599979278905926,1.1288837651272834,0,0.85386554184749075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14999976762235845,0.19000067380904254,0.38830903700066016,0.24000103048961138,0.07999949493674083,0.09999999999999999,0.17000274736057144,0.1999981513319653,0.21999953591980695,0.030000214064838295,0.17999814109117948,0.14999764061910156,0.039999570589687714,0.11605348302825196,0.06999816643946459,0.18000186607781546,0.04000078442523693,0.06999919633528892,0.029621840860470462,0.1655601777717748,0.03000024392028685,0.040000471981970286,0,0,0,0.4704531780642569,0.02812080167259607,0.14999929145351226,0.08000031753087987,0.08000061404316725,0.0799975396727765,0.3699969763725109,0.1599996313160175,0.06999987839431858,0.15,1.7999986017700382
