ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,0.02349363338995662,0.016999869463494965,0.06046867398299141,0.024884262456832763,0.026282201429106256,0.04720224842136,0.06028824568019144,0.03650857451439528,0.32534201712275734,0.007000049421099215,0.008655087719298245,0.01100010669036586,0.007956132859622657,0.017552856740076787,0.002699241751881012,0.028332973910350324,4.99987824312953e-4,0.0011000109501040258,0.004999839912912625,0.05716993688116316,0.06981893996912422,0.06960698304038397,0.06368929483758788,0.0649995320542817,0.038999511161805445,0.053263646538300936,0.08055489442710195,0,0.024272860698104783,0.11799931866848355,0.03205035926268101,0.10767226330727073,0.001,3e-4,2.9999668181969003e-4,0.013249506953740673,0.005636837100972728,0,9.999999999999999e-5,3.8015499723488213e-4,0.008380336491100008,0.005600000000000001,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.006000018830973185,0.002999988734552255,0.014018129321165878,0.001,0.006575856373017483,0.002242866576085852,0.008600144994397943,0.003,0.00918038375485462,0.001,0.005111140624000865,0.009619449702931387,0.007999624577649855,0.007321702144979167,0.020999927567724178,0.023666354901794067,0.013999840663996581,0.009800160954293494,0.020999751717288753,0.04178387125172401,3.0000552730488617e-4,4.265756810186272e-4,0.006292511199161296,0,1.444193344015457e-6,0.023457684527449778,5.025532738991697e-4,0.009000433087916846,0.002,0.010999629309279625,0.031000721358777628,0.016000292002774027,0.053001198267121394,0.065410625226476,0.016016430739081065,0.024999924180160345
ALB,0.012006706831800166,0.016,0.03600009124920157,0.011247878579353696,0.02630039224231859,0.04720224842136,0.0536937535590141,0.03650857451439528,0.32534201712275734,0.007848096411814201,0.0073000014844944545,0.006100057121096725,0.007956132859622657,0.017552856740076787,0.002699241751881012,0.028332973910350324,0.003699908750096197,0.0010999983383920065,0.004199960325332275,0.06739998926470926,0.06981893996912422,0.07847342069309368,0.029818428350571975,0.15700259152461948,0.045799874856606526,0.053263646538300936,0.08055489442710195,0,0.024300421151146466,0.1082110163421041,0.03320044493006132,0.10767226330727073,5.000121669302835e-4,3.000036500346753e-4,3.0000000000000003e-4,0.013249506953740673,0.005636837100972728,0,0.009824964667071738,3.8015499723488213e-4,0.008380336491100008,0.0056001338362331185,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.002700028048876966,0.0020999419764102414,0.006637590531054067,0.0014000150082009097,0.005999999999999999,9e-4,0.008600188967221456,0.0026000371271812216,0.00918038375485462,0.0012,0.0028999475165799897,0.010200002191804843,0.0029000178036026297,0.002901724703504867,0.018300057795591556,0.028299757613797983,0.006900002382597508,0.02400006865008195,0.03105144094161057,0.040484044857779074,2.0000353244551203e-4,2.9999087507984304e-4,0.006292511199161296,0,1.444193344015457e-6,0.017500072562073952,3.6849302874345793e-4,0.007000066143398889,0.003399940164076401,0.010200013954461941,0.004600158702168929,0.005899914413734078,0.053000931423914314,0.039499576809140916,0.016016430739081065,0.024999924180160345
ARE,0.034039166543428,0.016000273223249557,0.06046867398299141,0.0271,0.026282201429106256,0.04971397177680565,0.0536937535590141,0.03650857451439528,0.32534201712275734,0.002700076370052406,0.007300004022040784,0.0060999608267852615,0.007956132859622657,0.02220038535645472,0.002699241751881012,0.028332973910350324,0.0036999743226811366,0.0010999854000389333,0.00419998672727876,0.0673998915653319,0.0482,0.05738553459535965,0.053338767981993294,0.15699570119231082,0.045800458306461574,0.053263646538300936,0.08055489442710195,0,0.024299816788936217,0.06359974044232954,0.03320120389344262,0.10767226330727073,4.999999999999999e-4,3.0000365003467536e-4,3.000009102245524e-4,0.013249506953740673,0.005636837100972728,0,9.999999999999999e-5,3.8015499723488213e-4,0.008380336491100008,0.005599820948970457,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.002700078263138062,0.002100009772411397,0.00868106816133852,0.001399990198720933,0.006000021271391042,8.999843480982939e-4,0.008599960752676451,0.002599987465661134,0.00918038375485462,0.001199995493820902,0.0029000000000000002,0.010199952250208904,0.002899967524627158,0.0034138665565516067,0.01830033559140187,0.028300138100352923,0.012082690491759068,0.023999485829640167,0.04307490209686214,0.04061911578079852,2.000059612518629e-4,2.999954375399215e-4,0.006292511199161296,0,1.444193344015457e-6,0.018368500056763472,5.42678644042734e-4,0.007,0.0034000167946722135,0.010200097545949277,0.004599993776643744,0.005900018480872297,0.05300022121446742,0.039499642157015284,0.016016430739081065,0.024999924180160345
ARG,0.01922739021434783,0.011400036453197366,0.06046867398299141,0.032806732336599295,0.026282201429106256,0.04200125354864875,0.0536937535590141,0.03650857451439528,0.32534201712275734,0.00499988971480248,0.010000026843187468,0.013500279395583823,0.007956132859622657,0.017552856740076787,0.002699241751881012,0.028332973910350324,0.0010000238100907164,0.014999695326305525,0.007999908750798429,0.06400413675629639,0.06981893996912422,0.07271458607305782,0.02679657384270094,0.0830022659424391,0.038306591973577706,0.053263646538300936,0.08055489442710195,0,0.020799973677860885,0.09499951333463111,0.017000036500346753,0.10767226330727073,0.0036573991607255327,0.006739283990202944,6.743309524489462e-4,0.013249506953740673,0.005636837100972728,0,1e-4,3.8015499723488213e-4,0.008380336491100008,0.0040000243332684446,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.010000017669124442,0.0059999849246609935,0.00856748075533579,0.004499986427427455,0.005000050747510834,0.003999925548151732,0.008856062489655349,0.01000008807934187,0.00918038375485462,0.008000057689256818,0.004200029212006135,0.009619449702931387,0.007999798620550773,0.0038587196335456066,0.02499967777880628,0.02200007414547342,0.010700008883361464,0.015000016308797291,0.034451695885539174,0.0506745377074815,0.002,0.001,0.006292511199161296,0,1.444193344015457e-6,0.021000085781968627,0.002174316111165022,0.01300006063178318,0.011000045957994394,0.01,0.011000052898857384,0.011000112309074574,0.014999999999999998,0.030000629762579507,0.016016430739081065,0.024999924180160345
ARM,0.03403921480663169,0.015999858710497812,0.06046867398299141,0.027099961066770487,0.02629984487635733,0.04719991657107101,0.0536937535590141,0.03650857451439528,0.07629747077303625,0.007848096411814201,0.007299997577129868,0.008586790741556658,0.007956132859622657,0.017552856740076787,0.002699241751881012,0.028332973910350324,0.0037000488351847903,0.0010999963861081999,0.0042000435824798435,0.056385282881607914,0.06981893996912422,0.06960698304038397,0.03670238788461898,0.0830022659424391,0.04579925342181668,0.053263646538300936,0.08055489442710195,0,0.02430003119638122,0.06359986373369671,0.033200084231214684,0.10767226330727073,5e-4,0.006739283990202944,3.0000147475224163e-4,0.013249506953740673,0.005636837100972728,0,0.009824964667071738,4.0000235482503654e-4,0.008380336491100008,0.005599936733502044,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.0026999808262026855,0.0020999929015924094,0.00781533437628046,0.0013999941221994729,0.00600002664251079,8.99996375366982e-4,0.0086001514838532,0.0025999969337850886,0.00918038375485462,0.001200007296355673,0.0028998871425032343,0.010199879671101008,0.0029000009791346412,0.003060568676370122,0.018300099144010165,0.028300311118388734,0.006899964094615067,0.024,0.03105144094161057,0.04563624866232124,2.0000203396725312e-4,3.000036500346753e-4,0.006292511199161296,0,1.444193344015457e-6,0.01771468977585658,3.481114539891286e-4,0.006999853651397629,0.00339996157909903,0.010200181068302987,0.004600014426891726,0.005900018980041757,0.027995305972564985,0.03949957680914092,0.016016430739081065,0.024999924180160345
ATG,0.019227574474268122,0.011400131661939015,0.06046867398299141,0.0328066771791192,0.026282201429106256,0.04199941208172064,0.0536937535590141,0.03650857451439528,0.32534201712275734,0.0050001975113569035,0.009999999999999998,0.01350006225653249,0.0069999352037840995,0.017552856740076787,0.002699241751881012,0.028332973910350324,9.999972852349358e-4,0.015000220409962533,0.007999915117562177,0.06400020419623258,0.054998942022852305,0.06960698304038397,0.037958091754519134,0.0839997345455752,0.03400032686859883,0.053263646538300936,0.08055489442710195,0,0.02079971923256902,0.1082110163421041,0.016999627560521414,0.10767226330727073,0.0036573991607255327,0.006739283990202944,6.743309524489462e-4,0.013249506953740673,0.005636837100972728,0,0.009824964667071738,3.8015499723488213e-4,0.008380336491100008,0.003999922342160441,0.0015378965526206838,3.767780281208235e-4,0.001999958045772063,0.010000062763213226,0.006000253990690689,0.009458240986114046,0.004500031191226107,0.004999942827739981,0.003999929727165721,0.004000048453133707,0.01,0.006,0.007999961004333393,0.004200016692400784,0.01199977079990832,0.00799992760355708,0.006180494355455262,0.025000127020257192,0.021999435187800058,0.01069991439336022,0.014999662235919888,0.03105144094161057,0.04503434254802888,7.664629436760258e-4,0.001,0.006292511199161296,0,1.444193344015457e-6,0.0202429623617337,0.0021665345730072457,0.012999683100185613,0.010999922089774839,0.010000195979801015,0.011000176519466652,0.010999863126197645,0.014999910801891,0.029999750243512573,0.016016430739081065,0.024999924180160345
AUS,0.012006497264431272,0.016000080811890124,0.06046867398299141,0.011247918285777729,0.026300520892741718,0.04720063581773225,0.0536937535590141,0.03650857451439528,0.32534201712275734,0.0026999802488643096,0.007300002545431049,0.006100057030606425,0.007956132859622657,0.020177176295938272,0.002699241751881012,0.028332973910350324,0.0037000476815346366,0.0010999907442060743,0.004199980789549515,0.06739970191927487,0.04820008212553039,0.047770415026655376,0.04570537523686658,0.1570005367686527,0.04580087990875021,0.053263646538300936,0.08055489442710195,0,0.024299548305332593,0.1082110163421041,0.03319924204771372,0.10767226330727073,5.000100274752823e-4,3e-4,3.000048666536889e-4,0.013249506953740673,0.005636837100972728,0,1.000023297894647e-4,3.9999999999999996e-4,0.008380336491100008,0.0056001375370292004,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.002699998547607021,0.002099988350225506,0.007086082027338551,0.0014000071103948046,0.005999999999999999,9.000034434075963e-4,0.008599555206698065,0.002599998591817049,0.00918038375485462,0.0012000011533759315,0.0029000518450059735,0.01019999723378653,0.0029000048470747904,0.0032586140152684614,0.01829984259564853,0.028299835473283012,0.006899948146806563,0.023999857113332093,0.03819925842334354,0.04130347994178318,2.0000000000000004e-4,2.9999087507984304e-4,0.006292511199161296,0,1.444193344015457e-6,0.017500189167860898,3.0087575643043054e-4,0.0070000782350179945,0.003400014005275321,0.01019997525441554,0.004599836734693878,0.005900119055078639,0.05299964998249912,0.03949935730529646,0.014999543753992152,0.024999924180160345
AUT,0.012006628519695051,0.016000476086568405,0.03599987833254757,0.011247835532467903,0.026299935078987233,0.047199983867389946,0.0536937535590141,0.03650857451439528,0.32534201712275734,0.007848096411814201,0.007300001252144298,0.006100070972320795,0.007956132859622657,0.017552856740076787,0.002699241751881012,0.028332973910350324,0.00370002758566858,0.0011000128664395855,0.004200019043387184,0.06739986552684661,0.04819911470062903,0.07171152030931645,0.03649761304796231,0.15700014941620954,0.045798094898958426,0.05249977087343048,0.08055489442710195,0,0.024300891671409596,0.06359973607737986,0.03320018507094386,0.05729907232575322,5e-4,3.000060834651417e-4,3.0000239083830763e-4,0.013249506953740673,0.005636837100972728,0,1e-4,4.000123727922299e-4,0.008380336491100008,0.005599863551083063,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.002699987001438095,0.0021000098681281123,0.007638591051768188,0.00140000817761786,0.006000000000000001,9.00005644933672e-4,0.008599686028257458,0.0025999990292534473,0.00918038375485462,0.0012000131391087865,0.002899996790654386,0.01019997707999083,0.0028999789848580372,0.003055883622646832,0.018300144043005003,0.028299774451507075,0.00689999345367797,0.023999916047517104,0.03610198644477563,0.048427652656767316,1.999973029829009e-4,3.00000473410878e-4,0.006292511199161296,0,1.444193344015457e-6,0.01781364189056185,3.2038840122570984e-4,0.0070001088257699426,0.0034000431701262726,0.010199942600210466,0.004600154828720727,0.0058999133500302675,0.05300013825521913,0.03949938669119902,0.015,0.024999924180160345
AZE,0.034039191178010186,0.016000033796343238,0.03600029200277403,0.027099863811160623,0.026299396534942572,0.047202248421360005,0.0536937535590141,0.03650857451439528,0.07148023725788671,0.007848096411814201,0.007300335322204573,0.008586790741556658,0.007956132859622657,0.017552856740076787,0.002699241751881012,0.028332973910350324,0.0036999580432130652,0.0010999732929760527,0.004199991239980727,0.056385282881607914,0.06981893996912422,0.06960698304038397,0.03687970639913775,0.0830022659424391,0.04580074390795008,0.053263646538300936,0.08055489442710195,0,0.024299150698392648,0.1082110163421041,0.03319936734528348,0.10767226330727073,4.999913096376119e-4,0.006739283990202944,3.0000152084315543e-4,0.013249506953740673,0.005636837100972728,0,0.009824964667071738,4.0000730006935063e-4,0.008380336491100008,0.005599805337010301,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.002700007624478173,0.002100008210499933,0.004663428062605599,0.001400003074463506,0.005999905691516952,9.000295159386068e-4,0.00860005708712923,0.0026000318102292613,0.00918038375485462,0.0011999971982320846,0.0028999475165799897,0.010199879671101008,0.0028999873372923235,0.007344415953350086,0.018299894768564952,0.028300244017001,0.006900044249963125,0.024,0.03105144094161057,0.04365021291499899,2e-4,3.000060834651417e-4,0.006292511199161296,0,1.444193344015457e-6,0.01754726429494053,3.2323497291459865e-4,0.007000371372486604,0.0034000640358600813,0.01020002749518834,0.004599930174246993,0.0058999160492024675,0.027995305972564985,0.065410625226476,0.016016430739081065,0.024999924180160345
BEL,0.012006816983984703,0.015999948165714213,0.036000104286161225,0.011248117743200023,0.02629947229551451,0.04720128824476651,0.0536937535590141,0.03650857451439528,0.32534201712275734,0.007848096411814201,0.007300001194612482,0.008586790741556658,0.007956132859622657,0.017552856740076787,0.002699241751881012,0.028332973910350324,0.0036999859615411143,0.0010999898961832834,0.004200057937427578,0.0673982869379015,0.048198212131522776,0.06268028934845997,0.04582582527203462,0.1570020683781482,0.04580019162623759,0.053263646538300936,0.09210132496258715,0,0.024300145047658518,0.1082110163421041,0.03320002085723225,0.10767226330727073,5e-4,2.999954375399215e-4,2.999981565800874e-4,0.013249506953740673,0.005636837100972728,0,9.999746086559093e-5,4.0001258653241036e-4,0.008380336491100008,0.0056000112309074574,0.0015378965526206838,3.767780281208235e-4,8.845210731673149e-4,0.002699995817202452,0.0021000606428138264,0.008406338633346201,0.0013999845426558293,0.005999898987348165,9.000030608184629e-4,0.008600023548804897,0.0025999667239753757,0.006000092816038612,0.0012000085625935317,0.0028999597236422222,0.010199839562098904,0.002900022544041395,0.003169437986142411,0.018300129943637944,0.028300314123098934,0.006900000490265773,0.02399993972514667,0.04713761995471373,0.03318392555498858,2e-4,2.9999960668169144e-4,0.006292511199161296,0,1.444193344015457e-6,0.01752972554293997,3.03592249769438e-4,0.007000014170929755,0.0033999618962944145,0.01020002456172669,0.004599889285274942,0.005899961124789425,0.053000165907792135,0.039499957438011504,0.015,0.024999924180160345
