ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,0.6986436149054953,0.3499984938095573,0.8576872397319335,0.821987173162309,1.100001310629518,1.7700113151074934,1.168739493429098,1.3997954018336283,1.8158274135025485,0.20999991014345595,0.2733333333333333,0.16000035196821727,0.12739297058753332,0.7299442067679023,0.015708951849309972,0.00888466412734302,0.0071185728801959796,0.08000146001387012,0.02,1.8583597168726937,0.7009750391510209,1.4690535751025358,2.655762635574074,2.4919045390734675,1.9263972625061108,3.2499874036775838,3.700040150381429,0,0.38000765745644827,3.5100739731360715,0.03999993537990197,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12999962338053633,0.09800038302522335,0.2347266184521151,0.10000000000000002,0.07987996664102098,0.08011729439778292,0.2,0.29,0.3700000539241367,0.04,0.11666445319993506,0.4304586057445289,0.06999749718433239,0.16539471899377325,0.2200039837751702,0.2199982994643313,0.15829307685065147,0.2299991726648465,0.2500041380451875,0.163937612925133,0.020000552730488615,0.06999957368764619,0,0,0,0.13064872747800724,0.11019236546750144,0.3300043308791684,0.3099963113242346,0.32999711684995264,0.3000065578070693,0.40000730006935065,0.30000921743939535,0.2199993181046083,0.19999986528350944,1.209998821621472
ALB,0.2345184074936551,0.22999999999999998,0.7899899625878273,0.3100721250803788,1.1000217912399217,1.7700113151074934,1.2595641682059227,1.3997954018336283,1.8158274135025485,0.20999964717606887,0.21999960413481187,0.25,0.12739297058753332,0.7299442067679023,0.015708951849309972,0.00888466412734302,0.0071185728801959796,0.18999933535680263,0.020000396746677244,1.8199998466387037,0.7009750391510209,2.179203469683017,1.5316857008193188,2.8000146001387014,1.6799979142767754,3.2499874036775838,3.700040150381429,0,0.32000467945718297,3.4607270574104385,0.0400003937434171,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10999978423940796,0.10000048759319125,0.1856875438671791,0.10000107201435071,0.08,0.08,0.2,0.2699971123303494,0.3700000539241367,0.04999954164183894,0.11999618302399924,0.42999923286830544,0.0699996691365883,0.09884157006091705,0.16999891926942615,0.22000387283738757,0.13000047651950158,0.1999991418739756,0.2536867586466888,0.16778542424456155,0.0200003532445512,0.0699990875079843,0,0,0,0.11999738921657921,0.10889298588824844,0.3000044095599259,0.28000062985182733,0.3199990697025374,0.30000881678716274,0.37999798620550773,0.3000058213994644,0.22000634786288614,0.19999986528350944,1.209998821621472
ARE,1.2772013667816027,0.23000020346412203,0.8576872397319335,1.27,1.100001310629518,1.7699982019124638,1.2595641682059227,1.3997954018336283,1.8158274135025485,0.20999657651489217,0.220001161922893,0.24999423923312672,0.12739297058753332,0.17000481695568398,0.015708951849309972,0.00888466412734302,0.0071185728801959796,0.18999902666926222,0.02000033181803099,1.819998450933313,0.49,0.7010958669606767,2.562546482390346,2.799943223294671,1.6799950601698752,3.2499874036775838,3.700040150381429,0,0.32000092765095584,3.450035148434543,0.04000128073770492,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10999956520478854,0.09999891417651147,0.21068899355425103,0.10000061257994168,0.08000063814173128,0.0799968696196588,0.2,0.2700001044528239,0.3700000539241367,0.04999887345522548,0.12,0.42999880625522263,0.07000024981056033,0.12868097591045338,0.17000386741020745,0.21999693110326834,0.13038939149838633,0.2000005842844998,0.2893731720616666,0.16797646884231496,0.020000596125186287,0.06999726252395291,0,0,0,0.12183190443553982,0.1366487233516179,0.30000000000000004,0.279999483240855,0.32000205359893213,0.30000000000000004,0.3800036961744594,0.29999446963831433,0.21999564365062077,0.19999986528350944,1.209998821621472
ARG,0.23451816960862124,0.23000098143223677,0.8576872397319335,0.31007133717771196,1.100001310629518,1.7700106920325922,1.2595641682059227,1.3997954018336283,1.8158274135025485,0.21000066171118514,0.22000005368637496,0.24999855981657823,0.12739297058753332,0.7299442067679023,0.015708951849309972,0.00888466412734302,0.01999959434660261,0.19000060934738894,0.019999999999999997,1.8200511011071907,0.7009750391510209,1.7838596163638407,2.029906886370562,2.763904848138176,1.7355791338613975,3.2499874036775838,3.700040150381429,0,0.319989471144355,3.449970800077866,0.04000073000693506,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11000090112534654,0.09999974874434989,0.17270844422634024,0.10000045241908484,0.08000040598008668,0.08000037225924134,0.1999978152445725,0.2699984145718463,0.3700000539241367,0.049999278884289775,0.12000292120061345,0.4304586057445289,0.06999949655137694,0.08645549034301066,0.17000038666543246,0.2200007414547342,0.13000164976712902,0.1800001957055675,0.22828457412425798,0.16822708575615344,0.02,0.0700024333860567,0,0,0,0.11999907619418398,0.034897144360886694,0.30000000000000004,0.2849993106300841,0.31999433931748344,0.29998942022852304,0.3800033692722372,0.2999930872390433,0.22000755715095408,0.19999986528350944,1.209998821621472
ARM,1.2772015219360102,0.2299957613149343,0.8576872397319335,1.2699532801245863,1.100009124920157,1.769996871415163,1.2595641682059227,1.3997954018336283,1.839969687713536,0.20999964717606887,0.21999991189563153,0.22984559386580863,0.12739297058753332,0.7299442067679023,0.015708951849309972,0.00888466412734302,0.0071185728801959796,0.19000036138918003,0.02,1.6886973699762509,0.7009750391510209,1.4690535751025358,1.9064208617199663,2.763904848138176,1.6799668187474075,3.2499874036775838,3.700040150381429,0,0.319996880361878,3.449970800077866,0.03999929807321097,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10999979322375446,0.1,0.20789359755787004,0.10000097963342117,0.0800007992753237,0.08000048328440078,0.20000688562969085,0.26999555398837904,0.3700000539241367,0.05000030401481971,0.12000055052437447,0.42999197807340067,0.06999833547111063,0.09793233458511151,0.17000055855780374,0.21999345013918453,0.13000376568671237,0.19999999999999998,0.2536867586466888,0.1663877809125401,0.020000203396725313,0.07000036500346753,0,0,0,0.12045261386472064,0.10558300253359296,0.29999512171325426,0.2800019210450485,0.3200030178050498,0.3,0.37999503598907913,0.29999679743864066,0.22000634786288617,0.19999986528350944,1.209998821621472
ATG,0.23451864543255768,0.2300016888573329,0.8576872397319335,0.31005829095870024,1.100001310629518,1.7700014697956983,1.2595641682059227,1.3997954018336283,1.8158274135025485,0.21000197511356902,0.21999934234323107,0.25000444689517776,0.20999805611352299,0.7299442067679023,0.015708951849309972,0.00888466412734302,0.019999674228192293,0.19000220409962532,0.02,1.8200010209811628,0.4900021159542954,1.4690535751025358,2.089006840383541,2.8000132727212397,1.6799956417520159,3.2499874036775838,3.700040150381429,0,0.32,3.4607270574104385,0.039999255121042826,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1099988074989487,0.1000005521536754,0.17075921369809752,0.1000003981858652,0.08,0.07999859454331441,0.1999975773433147,0.26999915131969787,0.36999532054281703,0.05000219350624662,0.1199974961398823,0.5400011460004585,0.07000012066073821,0.15995486817531693,0.16999883141363384,0.21999435187800057,0.12999848929459212,0.1799998629363153,0.2536867586466888,0.1532605411070756,0.020000138205992737,0.07000030416400524,0,0,0,0.12118491486593617,0.03960383188657335,0.30000226357010273,0.2849956036372945,0.3200023517576122,0.30000129160585354,0.38000729993612553,0.2999910801891,0.22000049951297485,0.19999986528350944,1.209998821621472
AUS,0.23451851548791847,0.23000074077565946,0.8576872397319335,0.3100665294514523,1.100034219231208,1.7700459201695513,1.2595641682059227,1.3997954018336283,1.8158274135025485,0.20999407465929293,0.21999964755570087,0.24999683163297634,0.12739297058753332,0.2855949319017452,0.015708951849309972,0.00888466412734302,0.0071185728801959796,0.19000132800521544,0.02,1.8199957417039268,0.49000045625294664,1.7103545571117271,2.647881046130701,2.8000000000000003,1.6800065178425942,3.2499874036775838,3.700040150381429,0,0.319994800636922,3.4607270574104385,0.03999906809145129,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1099994029051087,0.10000166425349909,0.1784228323875022,0.09999881493419922,0.08,0.08000068868151923,0.19999345892203038,0.2699979581347209,0.3700000539241367,0.050000288343982846,0.11999864752158329,0.4300078837083858,0.0700005728361116,0.1174935954559488,0.1699998730610069,0.21999867717212473,0.1300001736709828,0.20000051030952826,0.23999946262561125,0.16539208485596743,0.02,0.06999908750798431,0,0,0,0.12000162964641395,0.10005837931153802,0.3000039117508997,0.2800004668425107,0.3199913390454391,0.29999673469387755,0.3800050128454164,0.3,0.21999934082594508,0.19999999999999998,1.209998821621472
AUT,0.23451857361717224,0.2299994048917895,0.7900019770961021,0.31006908518135307,1.1000014426891727,1.7700094779084072,1.2595641682059227,1.3997954018336283,1.8158274135025485,0.20999964717606887,0.2200000834762865,0.25000844908580894,0.12739297058753332,0.7299442067679023,0.015708951849309972,0.00888466412734302,0.0071185728801959796,0.19000345362325713,0.02,1.8199980789549517,0.4899899044808573,2.1226256253398446,1.8754721238133492,2.8000170761382317,1.6799608296982107,3.249931262029145,3.700040150381429,0,0.3200151773856953,3.4499459520166216,0.04,3.469912158279288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11000084593815573,0.10000024068605153,0.1943803793212706,0.10000090862420667,0.08,0.08,0.19999476713762426,0.26999859241749874,0.3700000539241367,0.04999965624424686,0.12000064186912289,0.43000802200320876,0.0700025439382376,0.09252347264350395,0.17000044549382992,0.22,0.12999975345020928,0.19999880067881576,0.25274904317225444,0.17640152287616653,0.01999973029829009,0.06999853242627808,0,0,0,0.12066015264817362,0.10221196280933237,0.30001088257699426,0.2800014390042091,0.32000382665263566,0.3000096767950454,0.38000166178024136,0.2999965436195216,0.2199938669119902,0.2,1.209998821621472
AZE,1.2772011411832804,0.2300010138902971,0.7900135051282987,1.270000377349429,1.0999854000389333,1.7700113151074937,1.2595641682059227,1.3997954018336283,1.881720994523472,0.20999964717606887,0.21999987838404833,0.22984559386580863,0.12739297058753332,0.7299442067679023,0.015708951849309972,0.00888466412734302,0.0071185728801959796,0.18999821953173684,0.0200005840012848,1.6886973699762509,0.7009750391510209,1.4690535751025358,1.8400314092600605,2.763904848138176,1.6800152953036467,3.2499874036775838,3.700040150381429,0,0.31999017336983226,3.4607270574104385,0.03999918890420959,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10999980296292362,0.09999956786842457,0.15080528717809996,0.09999999999999999,0.07999717074550856,0.08000295159386069,0.19999524273923075,0.27000068164776986,0.3700000539241367,0.05000105066296833,0.11999856863399971,0.4300020054816499,0.0699987986661948,0.09936691861293763,0.17000064225758482,0.21999908350422162,0.12999983611124769,0.19999999999999998,0.2536867586466888,0.16995425938902697,0.02,0.0700024333860567,0,0,0,0.12010106609593571,0.10268579122865919,0.3000053053212372,0.2800048026895061,0.3199993126202914,0.299996826102136,0.3800051100485454,0.29999679743864066,0.2199993181046083,0.19999986528350944,1.209998821621472
BEL,0.23451848318259283,0.2300016846142881,0.7900198143706331,0.31007147390559464,1.0999999999999999,1.770005367686527,1.2595641682059227,1.3997954018336283,1.8158274135025485,0.20999964717606887,0.21999983459211794,0.22984559386580863,0.12739297058753332,0.7299442067679023,0.015708951849309972,0.00888466412734302,0.0071185728801959796,0.19000227335876127,0.020000579374275785,1.8199824800467197,0.48999350428407934,1.3897791936446224,2.1129151548217635,2.8000365007908505,1.6800754338205102,3.2499874036775838,3.7000401503814286,0,0.3200113966017406,3.4607270574104385,0.04,4.287229714955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11000060418186804,0.09999999999999999,0.21706364823135382,0.10000257622402844,0.07999949493674083,0.08000061216369257,0.20000392480081636,0.26999796646516183,0.3699879339149805,0.04999970809340233,0.11999876072745298,0.4299971687429219,0.06999924853195351,0.10538136618200777,0.16999896363969738,0.220001244051877,0.13000050660796553,0.19999949770955558,0.2906054812330743,0.14341788292147226,0.02,0.06999885937690513,0,0,0,0.12006174422428957,0.10045901852388432,0.2999985829070245,0.2799987298764805,0.3200085966043413,0.2999938491819412,0.3799965444257267,0.2999981565800874,0.21999683825228314,0.2,1.209998821621472
