ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,0.01736369464605766,0.02000020082539236,0.047163211524646094,0.01850912678835718,0.04264114575202364,0.009610176296674818,0.014001888980126944,0.019782349664517314,0.023687259728731768,0.006766647047987888,0.0122,0.006499973052433366,0.004217707384520786,0.010306321698570611,8.454202645605357e-5,9.911357240928427e-4,0,2.0000365003467531e-4,0.0020999903947747575,0.016400008066305028,0.03016878566804678,0.02738152954202151,0.014620018713434392,0.020306036499766027,0.15459996741078702,0.08312871686267664,0.04033596267715211,0,0.005500095718205603,0.03400087599766401,3.4345074177289563e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005577828412172341,0.001912535063706107,0.007070241446630789,0.0022856924628028475,0.0022136612320050124,0.002234109084291353,0.004289856982798391,0.005699976679104477,0.006383147611635203,9.000093231400336e-4,0.0014999926217775612,0.015216276675336496,0.0018799899887373297,0.008604747625682065,0.05600010864841373,0.03449961737947454,0.03800018830618586,0.08450100408402716,0.0780004965654225,0.07570714713909023,8.000221092195446e-4,3.993398788635677e-4,0,0,1.1120249214472152e-5,9.86357435197817e-4,9.016663205150738e-4,0.01870073624945864,0.03400073773515308,0.0939989291156967,0.029380287231949638,0.022080154761470235,0.021001013918333485,0.0107129320615906,0.012170870575877983,0.004700108502741329
ALB,0.012967969254250788,0.04113,0.04603978465188429,0.027718221215366236,0.04270047940727828,0.009610176296674818,0.025577065878170997,0.019782349664517314,0.023687259728731768,0.005989286938354921,0.01066003097645097,0.005570020944402132,0.004217707384520786,0.010306321698570611,8.454202645605357e-5,9.911357240928427e-4,0,4.0000443095464916e-4,0.0012100376909343384,0.019549731234328394,0.03016878566804678,0.023585620089980656,0.015073415912556929,0.01623024418731978,0.12066169569298155,0.08312871686267664,0.04033596267715211,0,0.005399859616284511,0.05224987652637651,3.7000068905097995e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005940032939450385,0.0011599963918103846,0.004804961159563776,0.0037599116660175023,9.999999999999998e-4,0.0022,0.0042899920052329385,0.006649993812136462,0.006383147611635203,9.100059586560939e-4,0.005,0.016099902464684547,0.001880013171514866,0.004558334035023318,0.03540003477133151,0.06099985977657735,0.03845988897095614,0.0393399294620408,0.06355715109017843,0.04761453746712747,4.200077713801264e-4,3.8999908750798423e-4,0,0,1.1120249214472152e-5,7.499927437926048e-4,0.0012674412032977246,0.025100317488314667,0.02200072432960146,0.060999604623578396,0.029001058014459527,0.025000251724311535,0.021000698567935735,0.010500026449428691,0.012170870575877983,0.004700108502741329
ARE,0.046578687235847654,0.041130272264061546,0.047163211524646094,0.03627,0.04264114575202364,0.010017706565799894,0.025577065878170997,0.019782349664517314,0.023687259728731768,0.00854001527401048,0.010660195649939447,0.005569970274442933,0.004217707384520786,0.013000481695568401,8.454202645605357e-5,9.911357240928427e-4,0,3.9999026669262217e-4,0.0012100076318147127,0.019550189760669197,0.02889,0.02252162708149853,0.016820885375205614,0.016229621218265877,0.12065946732165155,0.08312871686267664,0.04033596267715211,0,0.005400010822594485,0.05800032444708809,3.700115266393442e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005940027247166585,0.0011599852328005558,0.008853460653928311,0.0037600156820465067,0.001,0.002200031303803412,0.0042899505047641895,0.0066499890324534915,0.006383147611635203,9.099947052395598e-4,0.005,0.01610003581234332,0.0018799910068198282,0.00543331933084602,0.035399278915129055,0.06099984655516341,0.03913005757273011,0.03933987537211619,0.06753631091062312,0.04802617767782774,4.200119225037258e-4,3.899945250479058e-4,0,0,1.1120249214472152e-5,8.021023508487191e-4,0.0025174385704495495,0.02510023478417916,0.021999728701448864,0.06100087277954616,0.02899990664965616,0.02499907595638514,0.021000165910850566,0.01050004667517192,0.012170870575877983,0.004700108502741329
ARG,0.025173129497961303,0.02099984577493422,0.047163211524646094,0.020745885404799044,0.04264114575202364,0.012000147476311618,0.025577065878170997,0.019782349664517314,0.023687259728731768,0.006599907360434083,0.014400027916914967,0.006999867503125199,0.004217707384520786,0.010306321698570611,8.454202645605357e-5,9.911357240928427e-4,0,0.0029000060934738893,0.0021000091249201566,0.01900048667721134,0.03016878566804678,0.02346575940709547,0.04074490329435435,0.017529385158097408,0.12998735723469712,0.08312871686267664,0.04033596267715211,0,0.0058000833534405235,0.049999999999999996,3.4345074177289563e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006299926319751077,0.0029999924623304967,0.006896445148399015,0.004000063338671878,0.0058000345083073675,0.0030000372259241337,0.004033495904845341,0.004999823841316258,0.006383147611635203,0.0019999999999999996,0.002800043818009202,0.015216276675336496,0.0023999899310275384,0.004466569585821332,0.039999953131462734,0.029000519018313933,0.04899998730948362,0.06400061321077816,0.07062817102644614,0.03849493389850094,0.0013000168152009417,0.001,0,0,1.1120249214472152e-5,9.999868027740569e-4,0.0010000036355124688,0.021199902989146913,0.024999770210028034,0.03399927219796216,0.022000105797714768,0.019000449236298296,0.01489976496612747,0.018000503810063604,0.012170870575877983,0.004700108502741329
ARM,0.04657872822451079,0.0411293740875053,0.047163211524646094,0.036269953280124584,0.04269960762843325,0.0096101001147147775,0.025577065878170997,0.019782349664517314,0.03363051140950966,0.005989286938354921,0.010659967797853337,0.005941742678985331,0.004217707384520786,0.010306321698570611,8.454202645605357e-5,9.911357240928427e-4,0,3.999855444327997e-4,0.001210013074743953,0.018976010849030105,0.03016878566804678,0.02738152954202151,0.008475926494079626,0.017529385158097408,0.12065532973869764,0.08312871686267664,0.04033596267715211,0,0.005400093589143659,0.057999562001167994,3.6998561050082473e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005940117599290194,0.0011599981070913093,0.004501775451530423,0.0037600289971492667,0.001,0.0022000314134860512,0.004290091578874888,0.006650006898983549,0.006383147611635203,9.099974260078598e-4,0.004999862368906383,0.016099839561468012,0.001880003785987278,0.0065464159617607525,0.0353986008127016,0.06100049123956115,0.03845992170874602,0.03934017363851618,0.06355715109017843,0.049516198073742586,4.1999389809824065e-4,3.9000620505894805e-4,0,0,1.1120249214472152e-5,7.628791148640827e-4,0.001120113594940446,0.02509976096394946,0.021999807895495153,0.06099989940649834,0.029000216403375894,0.024999634999197,0.02073819831322521,0.010500026449428691,0.012170870575877983,0.004700108502741329
ATG,0.025173074536323708,0.021000079272895218,0.047163211524646094,0.02074526201402054,0.04264114575202364,0.012000024496594973,0.025577065878170997,0.019782349664517314,0.023687259728731768,0.006600039502271381,0.014400052612541512,0.006999946637257866,0.00439998704075682,0.010306321698570611,8.454202645605357e-5,9.911357240928427e-4,0,0.002899977959003747,0.002099991511756218,0.018999948950941856,0.022999894202285227,0.02738152954202151,0.014271294373253678,0.0219998672727876,0.09749945521900197,0.08312871686267664,0.04033596267715211,0,0.005800187178287318,0.05224987652637651,3.4345074177289563e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006299857527505979,0.003000016564610262,0.009643535161830124,0.004000042473158954,0.005800011434452004,0.0029999472953742908,0.004033495904845341,0.005000084868030214,0.0062,0.0019999902510833482,0.002800045904102157,0.002,0.0023999420828456634,0.006926662457609344,0.040000203232411505,0.02900053913891813,0.04900178995701356,0.06399992951010501,0.06355715109017843,0.04777182311551552,4.863438133966571e-4,0.001,0,0,1.1120249214472152e-5,8.273956828817529e-4,9.999968648656784e-4,0.021200597582507127,0.025000278250804142,0.03399988241211939,0.021999922503648787,0.01899990875079843,0.014900008919810902,0.017999950048702515,0.012170870575877983,0.004700108502741329
AUS,0.012967704385686488,0.041129884910399817,0.047163211524646094,0.02771852661605077,0.042701798410706815,0.009610267278935594,0.025577065878170997,0.019782349664517314,0.023687259728731768,0.008539996049772862,0.01066046103630372,0.005569989227552119,0.004217707384520786,0.009869327303171013,8.454202645605357e-5,9.911357240928427e-4,0,3.9999919514835424e-4,0.0012099702238017483,0.0195498372722572,0.028889936580840415,0.022303270757232877,0.024321298270458733,0.016230166398282342,0.12065830210200425,0.08312871686267664,0.04033596267715211,0,0.005399863516719202,0.05224987652637651,3.6999875745526845e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005939964529335918,0.0011600179739377902,0.014298033646818817,0.0037599175194202657,9.999999999999998e-4,0.0021999931131848074,0.0042899005756148615,0.00665000316841164,0.006383147611635203,9.099991926368481e-4,0.005,0.016100745494529813,0.0018800040539170976,0.006253469715681048,0.03540011170631394,0.06099890039932867,0.03846067964898613,0.03933976153235746,0.04599924767585577,0.04464049313068594,4.2000389370193717e-4,3.899990875079843e-4,0,0,1.1120249214472152e-5,7.500247383655246e-4,8.903887536990531e-4,0.02510053199812236,0.021999953315748933,0.06099941229236908,0.02899983673469388,0.025,0.020999649982499122,0.010499983520648626,0.012000182498403138,0.004700108502741329
AUT,0.012967866237655407,0.04112991212235425,0.04604048484479796,0.027718695666087107,0.042700714131140446,0.009609994151928857,0.025577065878170997,0.019782349664517314,0.023687259728731768,0.005989286938354921,0.010659921782719572,0.005569975328669438,0.004217707384520786,0.010306321698570611,8.454202645605357e-5,9.911357240928427e-4,0,3.999972912758768e-4,0.0012099850826800393,0.01955047545864951,0.028889492894307676,0.02638242265827736,0.015467559131373277,0.016230015581976138,0.1206578830232351,0.08334937219319952,0.04033596267715211,0,0.00540020868905331,0.05799980346187862,3.7000308451573104e-4,0.008959855512683688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059399301378879185,0.0011600104939118465,0.009934856428022347,0.0037601141232003568,0.0010000000000000002,0.0022000564493367203,0.0042899005756148615,0.006650099258835007,0.006383147611635203,9.100360637980121e-4,0.004999839532719279,0.016100160440064175,0.0018800256605943965,0.003344057338812993,0.03540005345925959,0.06100061513225343,0.03846006701053278,0.039340733145039906,0.056142341638542745,0.050521974042123885,4.1999973029829005e-4,3.900006154341414e-4,0,0,1.1120249214472152e-5,7.688040403951612e-4,9.682906023397927e-4,0.025099575579497227,0.022000215850631364,0.06100003188877196,0.029000387071801817,0.025000296746471685,0.020999585234342595,0.010499846672799755,0.012000208572322452,0.004700108502741329
AZE,0.04657865047517955,0.04113014971780054,0.046041537394605245,0.03627014102577296,0.04270001946661476,0.009610176296674818,0.025577065878170997,0.019782349664517314,0.03687505467779469,0.005989286938354921,0.010660313809694007,0.005941742678985331,0.004217707384520786,0.010306321698570611,8.454202645605357e-5,9.911357240928427e-4,0,3.999955488293421e-4,0.0012100068620150965,0.018976010849030105,0.03016878566804678,0.02738152954202151,0.013016728329859959,0.017529385158097408,0.12066082664163799,0.08312871686267664,0.04033596267715211,0,0.005399873657612129,0.05224987652637651,3.699935112336767e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593998250653435,0.0011599923944842724,0.004072202021891134,0.0037600688679825366,0.0010000000000000002,0.0022001180637544276,0.004289978830189577,0.0066499284269841644,0.006383147611635203,9.100142189721715e-4,0.005,0.016100006684938835,0.0018799899997077839,0.0030620472755128387,0.03540024998641378,0.060998522150557344,0.038459773505744296,0.039339994122832796,0.06355715109017843,0.04619131380909427,4.200037742970372e-4,3.9001095023725513e-4,0,0,1.1120249214472152e-5,7.527996867559244e-4,9.998573763570304e-4,0.025100535837444957,0.022000320179300408,0.06099807533681605,0.028999904783064082,0.02500018250173377,0.02073819831322521,0.0107129320615906,0.012170870575877983,0.004700108502741329
BEL,0.012967927090586636,0.04113007382066201,0.04604025445823339,0.027718020301409983,0.04269964819700968,0.00961009125067096,0.025577065878170997,0.019782349664517314,0.023687259728731768,0.005989286938354921,0.010660078531986668,0.005941742678985331,0.004217707384520786,0.010306321698570611,8.454202645605357e-5,9.911357240928427e-4,0,3.999974740458208e-4,0.0012100231749710313,0.019549834533774575,0.028889851217173437,0.028396249686384555,0.017890040992043128,0.016230076651660787,0.1206606542667255,0.08312871686267664,0.04732999963499653,0,0.005399917115623705,0.05224987652637651,3.700020857232245e-4,0.018665678592273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005940037273373705,0.0011600296475978709,0.011832372845406617,0.0037599989695103887,9.999999999999998e-4,0.002200024486547703,0.004290199772361552,0.006650028654354537,0.0068600334137739,9.100090880254075e-4,0.004999845090931623,0.016099943374858438,0.0018799583471997082,0.005110556639741736,0.03540007493682188,0.06100208378689392,0.038459715678536004,0.03933938760749016,0.06206153338886033,0.037766090760713425,4.200014635217211e-4,3.899987020495817e-4,0,0,1.1120249214472152e-5,7.517815041387655e-4,9.095057648175318e-4,0.025099550781526776,0.02200012701235195,0.06100058334100888,0.028999261901832947,0.024999784026607918,0.02100023964458864,0.010500042561988497,0.011999951333463111,0.004700108502741329
