ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,1.7063497634456908,1.9394009378545822,3.7143067981764006,2.6548978786383817,5.0886532152695105,4.289885753914662,2.442881258568252,2.609080020829853,4.1830919983136505,2.709999685502096,5.505000000000001,4.5702149095936635,8.1600005746145,3.8531846357329456,0.1519720734551663,3.0065111165578955,0.020000054114164653,2.120013140124831,0.519994877213204,15.500014116033798,7.897240654734316,9.644302583287198,6.395978990843819,17.39990641085634,7.2748574221932545,6.533151833257713,7.380078110742053,0,4.150086146385043,4.68001751995328,0.08928285179755761,6.886181917678805,0,0,0,0,0,0,0,0,0,0.01,0,0,0,2.546004067490208,1.834014892921919,3.279210963948311,1.6599859460450337,1.3387604926038972,1.6847665485807342,1.8600013181308905,3.725,4.691228945521951,1.0700167816520603,2.0520017117476055,6.731671455579361,1.909961206357152,2.845959131491909,3.050014486455164,3.849927727234079,3.0099947129417046,2.429999924787713,3.1800049656542253,2.5816100241885116,0.19000663276586335,0.7521006011765439,0,0,0,1.5716705085383635,1.5329279787773356,3.1300129926375053,4.830025820730358,4.379982701099716,3.790084595711194,2.0400043800416103,3.50013826159093,2.041489075738801,2.394318970025589,2.259996453461849
ALB,1.1023190754302776,0.77,4.520029199744502,1.1350840771997375,5.1000217912399215,4.289885753914662,1.9658648382700759,2.609080020829853,4.1830919983136505,3.241633547402978,4.170000593797782,3.3700257044935262,8.1600005746145,3.8531846357329456,0.1519720734551663,3.0065111165578955,0.2899987906639255,1.2799989476482707,0.5200158698670898,13.929998236345092,7.897240654734316,10.389654767017605,7.259490061793496,17.97021571704931,7.050005214308061,6.533151833257713,7.380078110742053,0,3.559897051941975,4.153782344855327,0.08999990156414574,6.886181917678805,0,0,0,0,0,0,0,0,0,0.010000000000000002,0,0,0,2.370000647281776,1.4600002925559148,2.143317331852834,1.769995747676409,1.0199999999999998,2.1599886169607285,1.8600188967221458,3.580019388639082,4.691228945521951,1.069998624925517,1.0899971372679995,6.960021479687449,1.9100004253958152,1.8519056988433167,2.670001268683717,3.8500076789017164,2.5299969026232403,2.0900002574378074,3.4577421444328684,2.810180660372606,0.2400014129782048,0.7499954375399215,0,0,0,1.3799953908570624,0.42976396891516566,3.560058206191022,3.1700442470908716,3.8400120938670144,3.750132251807441,2,3.4999708930026783,2.0499629707998306,2.394318970025589,2.259996453461849
ARE,3.423421312764152,0.7700005231934566,3.7143067981764006,2.87,5.0886532152695105,4.227352836158858,1.9658648382700759,2.609080020829853,4.1830919983136505,2.7099781423643114,4.170002726049865,3.37004862087241,8.1600005746145,4.290077071290944,0.1519720734551663,3.0065111165578955,0.2899998514535272,1.2800029199922134,0.5199920363672561,13.92995314073271,8.23,7.241901785225968,7.121061390124153,17.969827236596643,7.04997461476186,6.533151833257713,7.380078110742053,0,3.5599996907830147,3.700021629805873,0.09000384221311475,6.886181917678805,0,0,0,0,0,0,0,0,0,0.01,0,0,0,2.3699980434215484,1.4599982626824184,3.2411191519141838,1.7699976721962216,1.0200057432755816,2.1600406949444357,1.859996075267645,3.580000417811296,4.691228945521951,1.0700006759268648,1.0899999999999999,6.959991643786558,1.9100015821335488,1.9130216547102983,2.66998515413501,3.8499984655516344,2.5662219812743716,2.0900002629280245,3.964816834382591,2.800733592987138,0.2400059612518629,0.7499771876996075,0,0,0,1.3818331658460488,1.3935870421397758,3.560050568900127,3.1700008397336106,3.8400118081938595,3.75000777919532,2,3.5001659108505696,2.049973550735912,2.394318970025589,2.259996453461849
ARG,1.4658799221592802,2.139994298346053,3.7143067981764006,2.9720917392599864,5.0886532152695105,3.910039449913358,1.9658648382700759,2.609080020829853,4.1830919983136505,7.6400070582526425,4.0700030064369965,2.4299984446019045,8.1600005746145,3.8531846357329456,0.1519720734551663,3.0065111165578955,0.029999832447509773,4.249990859789166,0.5099917875718587,10.420367441294562,7.897240654734316,9.849894321622207,7.285443462375241,17.188334479633024,7.112811880270228,6.533151833257713,7.380078110742053,0,2.5600473798504026,7.249975666731555,0.08000146001387012,6.886181917678805,0,0,0,0,0,0,0,0,0,0.01,0,0,0,2.0400011308239643,1.5320011758764425,2.6889777244564623,1.8099975569369418,1.4500086270768417,1.4699959051483453,1.8599984805715177,3.7000061655539307,4.691228945521951,1.2200008653388523,1.1299934272986196,6.731671455579361,1.850022655188038,1.8785606149583427,3.2800020153471023,3.2870542003410694,2.9700059645426973,2.66000234846681,4.69188904042466,2.879490464025885,0.1,0.7500304173257087,0,0,0,1.2999993401387029,1.1430000864133347,2.760019402170618,2.9599705868835886,2.9299288371340775,2.3400074058400335,2.200022461814915,2.7399419328079633,1.750047232193463,2.394318970025589,2.259996453461849
ARM,3.423422056856703,0.7699924645598832,3.7143067981764006,2.8699873467004084,5.099917875718587,4.290071957451246,1.9658648382700759,2.609080020829853,4.269963538294333,3.241633547402978,4.169998480199645,3.4527210613599557,8.1600005746145,3.8531846357329456,0.1519720734551663,3.0065111165578955,0.2900001112188474,1.2800043366701601,0.5200043582479844,11.356114033557862,7.897240654734316,9.644302583287198,5.724516285872363,17.188334479633024,7.049854832019909,6.533151833257713,7.380078110742053,0,3.559975042895024,3.699995133346311,0.09000105289018355,6.886181917678805,0,0,0,0,0,0,0,0,0,0.01,0,0,0,2.370000244371927,1.4600004732271727,2.604761566212334,1.7699918690426044,1.020008525603453,2.1600396293208646,1.8600151483853198,3.580020543639904,4.691228945521951,1.0700004256207476,1.0899832090065789,6.960024065779798,1.9099979438172545,1.7267855494050408,2.6699970675715305,3.8499918126739807,2.529998511240137,2.0900039463299134,3.4577421444328684,2.7313746473392353,0.24000813586901248,0.7500091250866883,0,0,0,1.3804538975483447,0.30421592678990866,3.559929752670862,3.170012486792815,3.8400563323609296,3.749981966385342,2.0000584001284802,3.46737012174609,2.0499629707998306,2.394318970025589,2.259996453461849
ATG,1.465880780628971,2.1399993796034287,3.7143067981764006,2.972071130324882,5.0886532152695105,3.9099872617706133,1.9658648382700759,2.609080020829853,4.1830919983136505,7.640015800908552,4.069994409917464,2.4300147636919904,8.159949458951598,3.8531846357329456,0.1519720734551663,3.0065111165578955,0.02999951134228844,4.2499889795018735,0.5099906629318395,10.42003165041605,9.880078290308928,9.644302583287198,7.200091980799167,20.07996814546902,7.370069731967749,6.533151833257713,7.380078110742053,0,2.559990641085634,4.153782344855327,0.08,6.886181917678805,0,0,0,0,0,0,0,0,0,0.009999999999999998,0,0,0,2.0399989957885887,1.532000066258441,2.9552145552326654,1.81000030527583,1.449991424160997,1.4699847156585444,1.8599946701552923,3.7000084868030214,4.040992044922789,1.2199989276191683,1.1300025038601178,6.520169608067842,1.849994570266781,2.208155974753462,3.279998374140708,3.2869887807758467,2.9699964750207153,2.659998844748943,3.4577421444328684,2.592886443103667,0.2297437207712135,0.7500076041001308,0,0,0,1.427219482399361,1.1809323638661975,2.7599710263026846,2.9599875343639743,2.9299960150773794,2.339993714184846,2.1999726252395293,2.73998751226474,1.7499937560878143,2.394318970025589,2.259996453461849
AUS,1.102318387073572,0.7699992592243405,3.7143067981764006,1.1350744292900394,5.100072240599217,4.290062404332979,1.9658648382700759,2.609080020829853,4.1830919983136505,2.710053328066364,4.170001507678391,3.369970217349978,8.1600005746145,3.2833650377172847,0.1519720734551663,3.0065111165578955,0.29000027584358884,1.2799998390296707,0.5199980789549515,13.929798947592541,8.230057944124221,9.554974577093425,6.613037552508529,17.970155662909285,7.049991852696758,6.533151833257713,7.380078110742053,0,3.5599389074838332,4.153782344855327,0.0899990680914513,6.886181917678805,0,0,0,0,0,0,0,0,0,0.01,0,0,0,2.370000338891695,1.4600029956562983,2.9773800885891526,1.7700024293848917,1.0199999999999998,2.1600495850693844,1.8599555206698064,3.5800094348257723,4.691228945521951,1.0700012687135245,1.0899961679778192,6.96006970857941,1.9099986340061956,1.9684396137977491,2.670001459798421,3.849995452779179,2.529999181265367,2.0899994641749955,3.599978505024451,2.8184239103497064,0.23999805314903144,0.7499954375399215,0,0,0,1.380001277941755,0.22016366011914185,3.5600453763104363,3.1700123713265334,3.8399733984967055,3.749942857142857,2,3.499964998249912,2.0499983520648626,2.849986312619764,2.259996453461849
AUT,1.1023189582714896,0.7700005951082105,4.520097942299211,1.1350805519703322,5.100004328067518,4.2900038314948885,1.9658648382700759,2.609080020829853,4.1830919983136505,3.241633547402978,4.170001126929868,3.3700023657440266,8.1600005746145,3.8531846357329456,0.1519720734551663,3.0065111165578955,0.2899998846901313,1.280000812617237,0.5200114260323103,13.929881855729517,8.229789547254795,10.793023566279045,6.496373213300037,17.970116758095156,7.049942134781448,6.450027495188341,7.380078110742053,0,3.5601403908176814,3.6999705192817935,0.09000102817191034,8.129874394548889,0,0,0,0,0,0,0,0,0,0.01,0,0,0,2.3699968432063945,1.46000158852794,2.8915631280745195,1.7700022261293065,1.0199983348597121,2.159977420265312,1.8599686028257456,3.580006504001903,4.691228945521951,1.069999365961611,1.0899900510285954,6.959947283978913,1.9099998893939896,1.6429249283499316,2.6699967330452474,3.8499487389788807,2.530000433587563,2.090000059966059,3.453472080550058,2.9672251334130433,0.2400008091051297,0.750001183527195,0,0,0,1.3806613205376186,0.2771352017624835,3.560017412123191,3.1700183473036656,3.8399821422877007,3.750048383975227,1.9999525205645305,3.4999308723904323,2.0499846672799755,2.850036500156429,2.259996453461849
AZE,3.423421548263046,0.769998986109703,4.520202941927948,2.869999691259558,5.1000097333073775,4.289885753914662,1.9658648382700759,2.609080020829853,4.299284377023079,3.241633547402978,4.169998831135575,3.4527210613599557,8.1600005746145,3.8531846357329456,0.1519720734551663,3.0065111165578955,0.2899990056484021,1.2799786343808421,0.5199947439884367,11.356114033557862,7.897240654734316,9.644302583287198,5.980526195398927,17.188334479633024,7.050092119442416,6.533151833257713,7.380078110742053,0,3.5599073489155613,4.153782344855327,0.08999918890420959,6.886181917678805,0,0,0,0,0,0,0,0,0,0.01,0,0,0,2.370000505442935,1.4599997407210548,2.0020910994830365,1.7699993851072988,1.0199933984061866,2.160074773711137,1.8599700292571537,3.5799913657949154,4.691228945521951,1.0700021713701344,1.089985209217997,6.959957216391469,1.9100006169011434,2.37081265465429,2.6700031124790646,3.849992553471801,2.5299506694855536,2.0900029385836025,3.4577421444328684,2.920782983674055,0.23999496760395042,0.7500304173257087,0,0,0,1.3801026589965506,0.26094530675521166,3.5600827630113003,3.1700152085167694,3.839978003849326,3.7499603262767005,2.0000365003467535,3.46737012174609,2.041489075738801,2.394318970025589,2.259996453461849
BEL,1.1023193903184978,0.7699983153857118,4.52002294295547,1.1350786295926028,5.099956024626209,4.290069779924853,1.9658648382700759,2.609080020829853,4.1830919983136505,3.241633547402978,4.170000707578162,3.4527210613599557,8.1600005746145,3.8531846357329456,0.1519720734551663,3.0065111165578955,0.2899996672966391,1.2800020207633434,0.5200057937427579,13.92996885341639,8.22994834359244,9.588157037530545,6.640124764780397,17.970556028713958,7.050020531382599,6.533151833257713,7.380078110742052,0,3.560013468711148,4.153782344855327,0.08999895713838774,6.886181917678805,0,0,0,0,0,0,0,0,0,0.01,0,0,0,2.3700009759860943,1.4600094333265952,3.055842811467999,1.7699947187407417,1.0200005050632592,2.1600195892381624,1.860041602888653,3.5800103525409943,4.989975867829961,1.0699992021219664,1.0900021687269574,6.9599377123442805,1.9099955985442991,1.800107091800485,2.669998963639697,3.8500606475290016,2.5300001797641167,2.0899978903801335,4.160248636958163,2.268510365249525,0.2400029270434422,0.7499990167042285,0,0,0,1.3800674734533762,0.227753309370314,3.5600068020462823,3.1700219096307114,3.8400264038561915,3.749907737729118,1.9999568053215842,3.499917046103932,2.049992095630708,2.8499124002335994,2.259996453461849
