ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,0.0010230564407818694,6.999769050798783e-4,9.228608220782025e-4,0.0010786087814504193,0.0025093168630957825,0.001390006205058948,0.0013973889078805009,8.44171238476316e-4,0.0015781404204178156,5.00006739240802e-4,0.00118,4.250016223535015e-4,6.460688170036566e-4,6.109953164518586e-4,1.8239036123786118e-4,4.246589343609425e-4,2.0000054114164653e-4,1.9000255502427273e-4,3.99993596516505e-4,0.0010893544939401883,0.001705528972884456,0.001336936393108059,0.0017906654242836673,0.002792138511932616,0.001359996741078703,0.0034919484256855995,1.193798931733566e-4,0,2.2000510497096552e-4,0.0018999902666926223,1.5603704753839508e-4,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,4.1110839108165115e-4,4.142868408304889e-4,0.0013388810001211625,3.2748770278940453e-4,2.1989215070063872e-4,2.4263488170914055e-4,8.99986818691096e-4,3.9999999999999996e-4,5.533276957169082e-4,3.0000000000000003e-4,2.857142857142857e-4,6.574771002473922e-4,6.999749718433238e-4,7.102354738831735e-4,0.0018999891351586266,0.0018499702406257973,0.0019499829800178167,0.0012000120339658686,0.0027999668956385005,0.013237663649740298,3.0000552730488617e-4,0.0010965263099773723,9.438757007629237e-5,0,3.4661167382329176e-6,0.004450886766712141,0.001803803355241547,6.000086617583369e-4,3.000073773515308e-4,0.0013999752872853083,8.750081972588367e-4,4.0000730006935063e-4,0.004120103235321228,0.0012596271006307383,0.0016431024154574545,0.0015000020054761122
ALB,4.157791035367159e-4,5.15e-4,0.0011399990875079842,7.50644641262453e-4,0.002510023970363914,0.001390006205058948,7.39126578589905e-4,8.44171238476316e-4,0.0015781404204178156,5.612182406278379e-4,3.3000311743835634e-4,6.100057121096725e-4,6.460688170036566e-4,6.109953164518586e-4,1.8239036123786118e-4,4.246589343609425e-4,1.8999989006035687e-4,1.300000553869331e-4,3.800079349335449e-4,0.0021199898781544503,0.001705528972884456,0.002455388046909246,0.00279524749900831,0.008700222652115194,0.0013500104286161224,0.0034919484256855995,1.193798931733566e-4,0,1.999976602714085e-4,0.0019812390193210184,1.5603704753839508e-4,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,1.8999877735664507e-4,2.700047296539551e-4,5.352218982599999e-4,3.599824189646485e-4,1.9999999999999998e-4,2.7e-4,8.99992732029944e-4,7.300028876696506e-4,5.533276957169082e-4,2.599990832836779e-4,3.199937974139988e-4,6.600072329559776e-4,6.99996691365883e-4,3.3688374555240937e-4,0.001599998120468567,0.0022000387283738756,0.0020700007147792525,0.0018499909896767441,0.0025780407003654906,0.0035769746188801677,3.4000494542371683e-4,0.0010999908750798431,9.438757007629237e-5,0,3.4661167382329176e-6,0.004570000342492988,8.249608099751566e-4,0.0011299497310168446,6.499913395373738e-4,0.0016000186059492523,9.500088167871626e-4,4.3000050344862306e-4,0.004119949935964606,9.999999999999998e-4,0.0016431024154574545,0.0015000020054761122
ARE,0.0015491251352382138,5.149967591071995e-4,9.228608220782025e-4,0.00201,0.0025093168630957825,0.001322162746738399,7.39126578589905e-4,8.44171238476316e-4,0.0015781404204178156,4.7999894661996686e-4,3.299995084172376e-4,6.099960826785262e-4,6.460688170036566e-4,5.90028901734104e-4,1.8239036123786118e-4,4.246589343609425e-4,1.9000154912750166e-4,1.3000048666536888e-4,3.79998009091814e-4,0.0021199945782665944,0.00215,0.002207159150745412,0.003354388555813438,0.008699813447968205,0.0013500006860875174,0.0034919484256855995,1.193798931733566e-4,0,2.0000154608492644e-4,9.000162223544043e-4,1.5603704753839508e-4,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,1.9000550740601177e-4,2.700008686587908e-4,8.504799258621585e-4,3.6001323172674035e-4,2.000042542782085e-4,2.700031303803412e-4,9.000065412205919e-4,7.300207861119525e-4,5.533276957169082e-4,2.600009012358196e-4,3.2e-4,6.600214874059925e-4,7.000024981056032e-4,3.8220731755267775e-4,0.0015999850293798418,0.0021999693110326835,0.001815503263780918,0.0018499907975191281,0.0040609478015168786,0.003574381808953293,3.400059612518629e-4,0.001100009124920157,9.438757007629237e-5,0,3.4661167382329176e-6,0.004575909582094698,0.0015709215925474105,0.0011299981939678527,6.500184095445414e-4,0.0016000102679946606,9.499953324828081e-4,4.2999445573831086e-4,0.00412011945581241,0.001,0.0016431024154574545,0.0015000020054761122
ARG,0.0017012484976089031,5.999822407500012e-4,9.228608220782025e-4,0.0013119204949783535,0.0025093168630957825,0.0012000147476311617,7.39126578589905e-4,8.44171238476316e-4,0.0015781404204178156,4.000044114079009e-4,7.000032211824961e-4,4.0000230429347485e-4,6.460688170036566e-4,6.109953164518586e-4,1.8239036123786118e-4,4.246589343609425e-4,1.607678832089772e-4,7.000182804216684e-4,6.99990875079843e-4,0.0020000608346514175,0.001705528972884456,0.002839447180159368,0.0037809511020918717,0.002467580621915937,0.0013098437397964734,0.0034919484256855995,1.193798931733566e-4,0,1.9999999999999998e-4,0.002399990266692622,0.0022000219002080517,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,6.000081277972433e-4,3.9999899497739956e-4,6.369114367746308e-4,4.0000633386718786e-4,4.000020299004334e-4,3.9999255481517324e-4,6.54442536727919e-4,4.999823841316258e-4,5.533276957169082e-4,3.9998846214863636e-4,5.000073030015337e-4,6.574771002473922e-4,5e-4,4.929086767123421e-4,0.0019000505008489063,0.0019000148290946835,0.0021000266500843918,0.0016000071758708082,0.002500851550256027,0.005605362863668885,5.000168152009416e-4,0.001400048667721134,9.438757007629237e-5,0,3.4661167382329176e-6,0.002899991421803137,5.62343865226519e-4,6.99993936821682e-4,0.0010500022978997198,0.0010999919133106906,5e-4,6.000112309074573e-4,6.999861744780865e-4,0.0019000566786321555,0.0016431024154574545,0.0015000020054761122
ARM,0.0015491390743331715,5.150002354825037e-4,9.228608220782025e-4,0.002010049639867627,0.0025099917875718585,0.001390004171446449,7.39126578589905e-4,8.44171238476316e-4,0.002699952039604667,5.612182406278379e-4,3.299949119727229e-4,4.08769028227842e-4,6.460688170036566e-4,6.109953164518586e-4,1.8239036123786118e-4,4.246589343609425e-4,1.9000223448775125e-4,1.3000252972426006e-4,3.800010895619961e-4,0.0013391190712748178,0.001705528972884456,0.001336936393108059,0.0016632178638702772,0.002467580621915937,0.0013499792617171298,0.0034919484256855995,1.193798931733566e-4,0,2e-4,9.000024333268445e-4,1.5603704753839508e-4,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,1.8999917289501782e-4,2.6999976338641364e-4,6.947690723416144e-4,3.599956896129468e-4,2.0000532850215805e-4,2.6999891261009825e-4,9.000206568890726e-4,7.30004446011621e-4,5.533276957169082e-4,2.599934738152036e-4,3.199922926587575e-4,6.600040109632997e-4,6.999833547111063e-4,2.91229671050484e-4,0.001599988828843925,0.0021999345013918453,0.00206998922838452,0.0018499999999999999,0.0025780407003654906,0.005062564451794921,3.399979660327469e-4,0.0011000109501040258,9.438757007629237e-5,0,3.4661167382329176e-6,0.004571640904650793,7.394219230603152e-4,0.0011299575589053124,6.499951973873787e-4,0.0016000402374006639,9.500108201687946e-4,4.3000014600032125e-4,0.0018036702865826747,0.001,0.0016431024154574545,0.0015000020054761122
ATG,0.0017012523119488783,5.9999241737524e-4,9.228608220782025e-4,0.00131193045244887,0.0025093168630957825,0.0012000024496594973,7.39126578589905e-4,8.44171238476316e-4,0.0015781404204178156,4e-4,7.00009864851534e-4,4.0000711503228445e-4,2.99996760189205e-4,6.109953164518586e-4,1.8239036123786118e-4,4.246589343609425e-4,1.607678832089772e-4,6.999955918007494e-4,6.999915117562177e-4,0.002,0.0019000211595429537,0.001336936393108059,0.002258156683223864,0.00289999004545907,0.0019000326868598824,0.0034919484256855995,1.193798931733566e-4,0,2e-4,0.0019812390193210184,0.002199925512104283,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,5.999849368288259e-4,4.0000220861470163e-4,7.790841461913723e-4,4.0000424731589544e-4,4e-4,3.9999297271657206e-4,5.999951546866294e-4,5.000084868030213e-4,7e-4,3.999980502166697e-4,5e-4,0.001,4.999939669630899e-4,6.149539105435304e-4,0.0019000198151601219,0.0018999512207645505,0.0021000178537911836,0.0016000227134106045,0.0025780407003654906,0.005553947378081312,3.408806434550119e-4,0.0013999756668795816,9.438757007629237e-5,0,3.4661167382329176e-6,0.003347679975296889,5.864306370342131e-4,6.999977364298972e-4,0.001049996104488742,0.001099969296497841,4.999806259121967e-4,5.999863126197644e-4,6.999910801891e-4,0.0018999975024351257,0.0016431024154574545,0.0015000020054761122
AUS,4.157807110565017e-4,5.150074414282154e-4,9.228608220782025e-4,7.506383923614967e-4,0.002510018630470324,0.0013900270811256327,7.39126578589905e-4,8.44171238476316e-4,0.0015781404204178156,4.7999209954572387e-4,3.2999555528578337e-4,6.100057030606425e-4,6.460688170036566e-4,5.707306968635099e-4,1.8239036123786118e-4,4.246589343609425e-4,1.8999712334543105e-4,1.2999963781675942e-4,3.8000192104504853e-4,0.0021199927000638743,0.002150015968853132,0.002276479025774291,0.0057974454301546845,0.008700161030595814,0.001350008147303243,0.0034919484256855995,1.193798931733566e-4,0,1.9999675039807622e-4,0.0019812390193210184,1.5603704753839508e-4,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,1.90005277027823e-4,2.70001830678849e-4,0.001018913483030539,3.5999336363151565e-4,1.9999999999999998e-4,2.699975896146827e-4,8.999869178440607e-4,7.300020418652791e-4,5.533276957169082e-4,2.599997693248138e-4,3.199963933908888e-4,6.600047025628967e-4,7.00005728361116e-4,3.7458359236857623e-4,0.0016000660082764223,0.0021999867717212474,0.0020700092541823694,0.001849999617267854,0.001,0.0036174677486944017,3.3999805314903145e-4,0.001099990875079843,9.438757007629237e-5,0,3.4661167382329176e-6,0.004570004830321799,5.348348250450918e-4,0.001130026599906118,6.499964986811699e-4,0.0015999566952271955,9.499755102040817e-4,4.300081458738016e-4,0.0041199859992999644,0.001,0.0024999543753992147,0.0015000020054761122
AUT,4.1577810609498523e-4,5.149967269048422e-4,0.0011400088208903016,7.506533403022965e-4,0.002509990622520378,0.001390005848071145,7.39126578589905e-4,8.44171238476316e-4,0.0015781404204178156,5.612182406278379e-4,3.2999845568870023e-4,6.100070972320795e-4,6.460688170036566e-4,6.109953164518586e-4,1.8239036123786118e-4,4.246589343609425e-4,1.9000405358538295e-4,1.2999844248362915e-4,3.800107912527375e-4,0.0021200653155316494,0.0021499572881882425,0.002932299700415263,0.002902047835632524,0.008700078977139319,0.001349995548829342,0.003549972504811658,1.193798931733566e-4,0,2.0000948586605956e-4,9.000042115311724e-4,1.5603704753839508e-4,0.003709958131516296,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,1.899997730409826e-4,2.7000161259654523e-4,8.616428990793413e-4,3.5999691067769744e-4,2.0000000000000004e-4,2.6999717753316396e-4,9e-4,7.300014075825014e-4,5.533276957169082e-4,2.6000157363744765e-4,3.1999743252350847e-4,6.600103140041256e-4,7.00025439382376e-4,3.004994188243379e-4,0.0015999910901234018,0.0022,0.002069998036103391,0.0018500128927027302,0.002823542193276268,0.0038232332549270635,3.399994605965802e-4,0.0011000175162024872,9.438757007629237e-5,0,3.4661167382329176e-6,0.004572145899530741,6.118751785344352e-4,0.0011300032647730983,6.499982012447386e-4,0.001600019133263178,9.500193535900909e-4,4.299975073296378e-4,0.004120005530208764,0.001,0.0025,0.0015000020054761122
AZE,0.0015491289764945914,5.150055763966339e-4,0.0011400153301456362,0.0020100031903178997,0.0025099766400622932,0.001390006205058948,7.39126578589905e-4,8.44171238476316e-4,0.0028376463177785943,5.612182406278379e-4,3.2999812846563236e-4,4.08769028227842e-4,6.460688170036566e-4,6.109953164518586e-4,1.8239036123786118e-4,4.246589343609425e-4,1.8999876312362213e-4,1.299964390634737e-4,3.7999503598907917e-4,0.0013391190712748178,0.001705528972884456,0.001336936393108059,0.0019426267126347345,0.002467580621915937,0.0013500017381026872,0.0034919484256855995,1.193798931733566e-4,0,1.9999298097845162e-4,0.0019812390193210184,1.5603704753839508e-4,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,1.9000370943713364e-4,2.699958083237184e-4,4.5920151921519174e-4,3.6000430424890854e-4,2e-4,2.700118063754428e-4,9.000023786303846e-4,7.299993183522302e-4,5.533276957169082e-4,2.600005603535831e-4,3.200057254640012e-4,6.599906410856341e-4,6.999879866619479e-4,3.079339671512669e-4,0.0016000118570631042,0.002199990835042216,0.0020700788304898634,0.0018500146929180134,0.0025780407003654906,0.003718680972241312,3.400012580990124e-4,0.0011000121669302834,9.438757007629237e-5,0,3.4661167382329176e-6,0.004570338800012232,6.316683726584157e-4,0.0011300334235237945,6.500040022412552e-4,0.0015999793786087434,9.49995239153204e-4,4.3001058510055843e-4,0.0018036702865826747,0.0012596271006307383,0.0016431024154574545,0.0015000020054761122
BEL,4.157694689908016e-4,5.150168245452621e-4,0.001140004171446449,7.506419377185595e-4,0.0025099824098504834,0.0013900161030595813,7.39126578589905e-4,8.44171238476316e-4,0.0015781404204178156,5.612182406278379e-4,3.2999791402282076e-4,4.08769028227842e-4,6.460688170036566e-4,6.109953164518586e-4,1.8239036123786118e-4,4.246589343609425e-4,1.8999796320625417e-4,1.2999823183207457e-4,3.800057937427578e-4,0.002120011679968853,0.002149989173806799,0.0027099916298937185,0.002701970409745014,0.00869996349920915,0.0013500068437941996,0.0034919484256855995,0.0026100302952878052,0,2e-4,0.0019812390193210184,1.5603704753839508e-4,0.0012936677557542843,0,0,0,0,0,0,0,0,0,0,0,0,1.2896196326463104e-5,1.900035786156799e-4,2.7000875951755277e-4,8.431885758463313e-4,3.6000154573441706e-4,1.9999747468370412e-4,2.7000091824553885e-4,9.000353232073472e-4,7.300020335348381e-4,5.400037126415446e-4,2.5999147632734795e-4,3.2001115345292315e-4,6.599896187240469e-4,6.999924853195351e-4,3.245832778943199e-4,0.0015999808671944133,0.0022000124405187694,0.0020700655158494754,0.0018500110503897776,0.0029923159444250847,0.003162135384328174,3.400004878405737e-4,0.0010999933135887542,9.438757007629237e-5,0,3.4661167382329176e-6,0.00457032125285048,5.475281268937529e-4,0.0011300041095696288,6.500015876543993e-4,0.0016000429830217064,9.499938491819413e-4,4.299943846918059e-4,0.004120043504709938,0.001,0.0025,0.0015000020054761122
