ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,0.0030424487465663353,7.278414282701905e-4,0.0013365294301129957,0.002737306364084855,0.0031589060956950382,0.006800014600138701,0.0019290152281401652,0.0015042858071315725,0.003296244696769313,3.999964057382389e-4,8.4e-4,9.000047295729196e-4,0.0031666435788324653,0.0016844516014324765,1.6908553133587464e-5,6.607691505523258e-5,0,1.100010950104026e-4,3.057586463533126e-5,0.008859222811510617,0.003902087155728654,0.003755858667874233,0.005956586677336011,0.007049976602714086,0.008739938080495356,0.014974489239088305,0.009910816089427319,0,7.000191436411206e-4,0.006799931866848356,4.914985379209765e-5,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000018830973185e-4,5.000056327238726e-4,8.069985852820058e-4,9.000030552076014e-4,2.8953154730238396e-4,4.081496867092869e-4,3.699993409345548e-4,3e-4,6.467458184143425e-4,2e-4,6.857319934481384e-4,5.091301414936565e-4,6.899637091728195e-4,4.745055850967346e-4,6.000018108068955e-4,0.001799974491964969,0.007199959441744584,9.333468715449357e-4,7.000000000000001e-4,0.001751558838448414,9.999999999999999e-5,2.2168551746202015e-4,6.292511199161295e-5,0,2.0000135158999336e-4,6.848567530695771e-4,3.785355488593948e-4,7.000086617583369e-4,7.999999999999999e-4,0.0011999670497137443,7.500163945176734e-4,4.7001496514216887e-4,2.0000921743939534e-4,1.419690139988815e-4,0.0011847534324444051,5.000144036189739e-4
ALB,0.0012482220944855012,0.0018,0.0019099826626517017,0.0011111154065717973,0.0031600021791239924,0.007630032485308609,0.0013021295021853594,0.0015042858071315725,0.003296244696769313,4.370845002291372e-4,8.10002028809089e-4,7.800123762376237e-4,0.0031666435788324653,0.0016844516014324765,1.6908553133587464e-5,6.607691505523258e-5,0,1.0999983383920066e-4,3.057586463533126e-5,0.006900031439065722,0.003902087155728654,0.00919092487739722,0.004925256684952305,0.008740008030076286,0.006400041714464491,0.014974489239088305,0.009910816089427319,0,6.599906410856341e-4,0.007406903937167938,2.999931094902007e-5,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7000064728177613e-4,4.599954166240022e-4,5.346708705697738e-4,8.60005645942247e-4,3e-4,3.5e-4,3.699978196089832e-4,3.100016500969432e-4,6.467458184143425e-4,1.6999954164183893e-4,7.899947516579989e-4,5.000054795121042e-4,9.200366155508955e-4,3.197404289986613e-4,8.000225543771937e-4,0.00119997863262131,0.005950001191298754,6.000017162520487e-4,0.0013165268462981018,0.001225790200207563,5.000176622275601e-5,2.2000182498403136e-4,6.292511199161295e-5,0,2.0000135158999336e-4,3.999985487585209e-4,1.3646511447968303e-4,8.000044095599259e-4,5.600012597036547e-4,0.001,7.600335037912184e-4,4.6999949655137697e-4,1.999941786005356e-4,2.599978840457046e-4,0.0011847534324444051,5.000144036189739e-4
ARE,0.004711668236338022,0.0018000034879563775,0.0013365294301129957,0.00385,0.0031589060956950382,0.006943228688856288,0.0013021295021853594,0.0015042858071315725,0.003296244696769313,8.699865694045769e-4,8.09994324453561e-4,7.800078346429476e-4,0.0031666435788324653,0.0014300096339113682,1.6908553133587464e-5,6.607691505523258e-5,0,1.0999854000389333e-4,3.057586463533126e-5,0.006899930291999071,0.00726,0.007063242091611565,0.003969305658116228,0.008739962689593641,0.00639996157909903,0.014974489239088305,0.009910816089427319,0,6.600004638254779e-4,0.006989942140269292,3.0000640368852455e-5,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6999260848140527e-4,4.6000912091730367e-4,8.134660351512993e-4,8.600009801279067e-4,3.000010635695521e-4,3.5e-4,3.6999324073872186e-4,3.1000031335847166e-4,6.467458184143425e-4,1.7000123919925199e-4,7.899999999999999e-4,5e-4,9.199690234905197e-4,2.3816590901359493e-4,7.999925146899209e-4,0.0012,0.004065842431079392,6.000017528534994e-4,0.001598857383631587,0.001243685906809974,5.0001192250372575e-5,2.199972625239529e-4,6.292511199161295e-5,0,2.0000135158999336e-4,4.489023626218838e-4,3.96144604351325e-4,8e-4,5.5999896648171e-4,0.001,7.599962659862465e-4,4.700055442616891e-4,2.0000276518084283e-4,2.599962659862464e-4,0.0011847534324444051,5.000144036189739e-4
ARG,0.0019202154956986168,9.999859795394746e-4,0.0013365294301129957,0.0030000131456715683,0.0031589060956950382,0.004399955757106515,0.0013021295021853594,0.0015042858071315725,0.003296244696769313,4.99988971480248e-4,7.999940944987572e-4,0.0010000057607336872,0.0031666435788324653,0.0016844516014324765,1.6908553133587464e-5,6.607691505523258e-5,0,1.9999999999999998e-4,9.999999999999999e-5,0.004500121669302835,0.003902087155728654,0.003694852993115089,0.0028494632795730136,0.004969776308453613,0.007304414514339843,0.014974489239088305,0.009910816089427319,0,5.000109675579635e-4,0.012400233599377069,3.000036500346753e-4,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000081277972433e-4,3.9999899497739956e-4,6.22671237462265e-4,5.999981903236606e-4,2.9999898504978333e-4,3.0000372259241333e-4,4.070978240380842e-4,4.999823841316258e-4,6.467458184143425e-4,3.9998846214863636e-4,7.000073030015337e-4,5.091301414936565e-4,3.9999999999999996e-4,2.7881147541496235e-4,7.000050383677563e-4,9.000148290946838e-4,0.007300219545933324,6.000006523518917e-4,0.0032138303319294566,0.0016273317466678795,9.999999999999999e-5,3.000060834651417e-4,6.292511199161295e-5,0,2.0000135158999336e-4,0.002499983503467571,2.999996923797141e-4,2e-4,7.999908084011214e-4,5e-4,8.000158696572153e-4,0.0013000336927223722,1.9999999999999996e-4,5.000125952515901e-4,0.0011847534324444051,5.000144036189739e-4
ARM,0.0047117097666906855,0.001800028257900438,0.0013365294301129957,0.003850009733307378,0.0031599598503513093,0.007630096986129941,0.0013021295021853594,0.0015042858071315725,0.0039000064897026436,4.370845002291372e-4,8.099985242518287e-4,5.568065980075054e-4,0.0031666435788324653,0.0016844516014324765,1.6908553133587464e-5,6.607691505523258e-5,0,1.0999963861081998e-4,3.057586463533126e-5,0.004408817267692809,0.003902087155728654,0.003755858667874233,0.001869160504515748,0.004969776308453613,0.006399917046868519,0.014974489239088305,0.009910816089427319,0,6.59998440180939e-4,0.006989974693400818,3e-5,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,3.699978946418635e-4,4.6000047322717274e-4,5.01965759130779e-4,8.600005877800527e-4,3.0000799275323707e-4,3.499945630504911e-4,3.7000619706672175e-4,3.0999432750241463e-4,6.467458184143425e-4,1.7000103365038703e-4,7.90002477359685e-4,5e-4,9.199949084998679e-4,2.591609214126109e-4,7.999944144219625e-4,0.0012,0.005949960153780136,6.000000000000001e-4,0.0013165268462981018,0.0013418620488374353,5.000101698362656e-5,2.200021900208052e-4,6.292511199161295e-5,0,2.0000135158999336e-4,4.1211220404511784e-4,1.0460615834805322e-4,7.999902434265085e-4,5.599942368648545e-4,0.001,7.600086561350357e-4,4.7000423400931485e-4,2.5993212060793894e-4,2.599978840457046e-4,0.0011847534324444051,5.000144036189739e-4
ATG,0.0019202328446582249,0.0010000103399428546,0.0013365294301129957,0.002999991141191687,0.0031589060956950382,0.004399955906129047,0.0013021295021853594,0.0015042858071315725,0.003296244696769313,5.000197511356904e-4,8.000065765676892e-4,0.001,0.00139998704075682,0.0016844516014324765,1.6908553133587464e-5,6.607691505523258e-5,0,2e-4,1e-4,0.004499974475470928,0.0051000317393144305,0.003755858667874233,0.004192752838328064,0.00729999668181969,0.004900032686859883,0.014974489239088305,0.009910816089427319,0,5e-4,0.007406903937167938,2.9999255121042833e-4,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,5.999849368288259e-4,4.0000220861470163e-4,7.004225223874317e-4,5.999997345427565e-4,2.9999428277399805e-4,2.999947295374291e-4,7.999854640598881e-4,5.000084868030213e-4,6.000000000000001e-4,3.999980502166697e-4,6.999958268998038e-4,9.00011460004584e-4,4.000024132147641e-4,3.717949653194183e-4,6.999832333260508e-4,9.000025673281816e-4,0.0072999116466231145,5.999962796999871e-4,0.0013165268462981018,0.0014305778547280593,5.4578272141110955e-5,2.999969583599477e-4,6.292511199161295e-5,0,2.0000135158999336e-4,9.453051226743081e-4,3.044773480274989e-4,1.9999773642989725e-4,7.999933219807005e-4,4.99996733669983e-4,7.99977612165205e-4,0.0012999817501596859,1.9999999999999998e-4,5.000124878243712e-4,0.0011847534324444051,5.000144036189739e-4
AUS,0.0012482059275165022,0.00180001750924286,0.0013365294301129957,0.0011111187025475912,0.003160031937949127,0.0076304015071235135,0.0013021295021853594,0.0015042858071315725,0.003296244696769313,8.69998024886431e-4,8.100051104423373e-4,7.799885938787149e-4,0.0031666435788324653,0.0010880445702646253,1.6908553133587464e-5,6.607691505523258e-5,0,1.0999907442060743e-4,3.057586463533126e-5,0.00689996045867932,0.007260048971149605,0.00643570587572014,0.0037948136618804413,0.008740096618357488,0.006399869643148118,0.014974489239088305,0.009910816089427319,0,6.599941507165371e-4,0.007406903937167938,2.99996893638171e-5,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,3.700051802016244e-4,4.5999966714930016e-4,7.552483259547988e-4,8.600022516250215e-4,3e-4,3.500051651113942e-4,3.699895342752486e-4,3.0999739486154044e-4,6.467458184143425e-4,1.6999319508200503e-4,7.900051845005973e-4,5.000069155336717e-4,9.200188595273663e-4,2.668730581127733e-4,8.000012693899312e-4,0.0012000115747439087,0.005949967870868181,5.999964278333024e-4,0.0012999892525122254,0.001152949817283906,5.000000000000001e-5,2.200018249840314e-4,6.292511199161295e-5,0,2.0000365003467531e-4,3.999976710189662e-4,6.353262371001137e-5,8.000312940071977e-4,5.600009336850214e-4,0.001,7.6e-4,4.699855880694279e-4,1.9999999999999998e-4,2.5999472660756073e-4,0.0012000182498403138,5.000144036189739e-4
AUT,0.0012482157703720637,0.0018000039673880701,0.0019100269189238513,0.001111122963089384,0.0031600663637019405,0.007629917925346347,0.0013021295021853594,0.0015042858071315725,0.003296244696769313,4.370845002291372e-4,8.100037981710345e-4,7.800027037074589e-4,0.0031666435788324653,0.0016844516014324765,1.6908553133587464e-5,6.607691505523258e-5,0,1.1000128664395853e-4,3.057586463533126e-5,0.0069000096052252435,0.00725984313116409,0.007070327592833775,0.002886376541751522,0.008739994450255075,0.006399893171904211,0.014800430757950692,0.009910816089427319,0,6.600265604249668e-4,0.00699001867112153,3e-5,0.011629587061817584,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7000509626157235e-4,4.5999918166742486e-4,6.615832438033717e-4,8.599900959961474e-4,2.999916742985597e-4,3.4999717753316395e-4,3.6998953427524854e-4,3.0999820411887764e-4,6.467458184143425e-4,1.699986784501046e-4,7.900125164478963e-4,5e-4,9.200207939299422e-4,2.2230211000679186e-4,7.999955450617009e-4,0.0012000000000000001,0.005950011604843599,5.999904054305263e-4,0.0015774222505038525,0.0013291387924662934,5e-5,2.199987691317171e-4,6.292511199161295e-5,0,2.0000135158999336e-4,4.176460560342054e-4,8.127910689471605e-5,7.999999999999999e-4,5.599884879663273e-4,0.001,7.600154828720727e-4,4.699989317127019e-4,1.999965436195216e-4,2.599969334559951e-4,0.0012000208572322453,5.000144036189739e-4
AZE,0.0047118189267638996,0.001799993240731353,0.0019100266452531298,0.0038499933106237584,0.0031599182402180263,0.007630032485308611,0.0013021295021853594,0.0015042858071315725,0.0036434430388606024,4.370845002291372e-4,8.100298026646054e-4,5.568065980075054e-4,0.0031666435788324653,0.0016844516014324765,1.6908553133587464e-5,6.607691505523258e-5,0,1.0999732929760527e-4,3.057586463533126e-5,0.004408817267692809,0.003902087155728654,0.003755858667874233,0.0036624936557349934,0.004969776308453613,0.0064000417144644915,0.014974489239088305,0.009910816089427319,0,6.599775391310452e-4,0.007406903937167938,2.9999594452104795e-5,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7000136212587585e-4,4.600040620368089e-4,4.4063973959733736e-4,8.600043042489084e-4,3.0000000000000003e-4,3.5000983864620226e-4,3.699959563283462e-4,3.0999068414714503e-4,6.467458184143425e-4,1.7000077048617677e-4,7.89994751657999e-4,4.999933150611672e-4,9.199944154212298e-4,2.7489381503564787e-4,8.000059285315521e-4,0.0011999793788449863,0.005949981152793484,6e-4,0.0013165268462981018,0.001171997865968074,5.000062904950619e-5,2.200024333860567e-4,6.292511199161295e-5,0,2.0000135158999336e-4,4.026501163275309e-4,8.314913426814013e-5,7.999893893575257e-4,5.600096053790123e-4,0.001,7.599898435268353e-4,4.7001496514216887e-4,2.5993212060793894e-4,1.419690139988815e-4,0.0011847534324444051,5.000144036189739e-4
BEL,0.0012482313158087089,0.0017999887692380792,0.0019100010428616122,0.0011111433750782976,0.003159982409850484,0.007630059044551798,0.0013021295021853594,0.0015042858071315725,0.003296244696769313,4.370845002291372e-4,8.099932090875091e-4,5.568065980075054e-4,0.0031666435788324653,0.0016844516014324765,1.6908553133587464e-5,6.607691505523258e-5,0,1.0999898961832832e-4,3.057586463533126e-5,0.006899941600155732,0.007260045160691639,0.006338278794114361,0.004135130260421891,0.008740114369144665,0.0064000121667452435,0.014974489239088305,0.008050151476439027,0,6.599927476170742e-4,0.007406903937167938,3e-5,0.0024747958794801082,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7000329976251005e-4,4.600094333265952e-4,6.900519370301697e-4,8.600079862944882e-4,3.0000757594888757e-4,3.5000459122769425e-4,3.700066721613878e-4,3.1000314273565895e-4,5.200018563207723e-4,1.700005643527555e-4,7.900052669083247e-4,5e-4,9.200008588206247e-4,2.4905698926624823e-4,7.999904335972066e-4,0.0012000124405187695,0.00595002884396965,6.000110503897774e-4,0.0016101816373378923,0.0011514946163034957,4.999878039856575e-5,2.1999866271775085e-4,6.292511199161295e-5,0,2.0000000000000004e-4,4.016767413878724e-4,6.674690438933762e-5,8.000056683719019e-4,5.599974597529609e-4,0.001,7.59995079345553e-4,4.7000129584035243e-4,1.9999262632034953e-4,2.600051074386195e-4,0.0011999951333463111,5.000144036189739e-4
