ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,0.017864529956526418,0.01160017672634528,0.024037414612879244,0.012311988159842132,0.026500029502973237,0.039701427163558053,0.02901998583264905,0.01951620693738291,0.035959106114479465,0.003399946984639024,0.00345,0.003849982346594103,0.004260561507234293,0.004001138513084054,1.617549563876932e-4,0.0020543060103069936,1.0000027057082327e-4,0.0014000073000693504,0.002199980789549515,0.03773175502631632,0.02715032727703064,0.04074473817419844,0.045453126342873434,0.04729995320542817,0.025199608929444357,0.04981173661315645,0.05049582574999316,0,0.003859677110586434,0.07749902666926223,0.002199986794664325,0.041904254628303085,0.0018732525475628889,0.001127316534247428,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.00700003766194637,0.0025853076030506834,0.0034984063571759988,7.999755583391892e-4,0.0014897908581860168,7.608636485118587e-4,0.001699993409345548,0.002,0.001338244595567633,5e-4,0.0011149969749288,0.0030397426945755163,6.999749718433238e-4,0.0024419638257570445,0.03599974648703462,0.03329946433126435,0.03599979720872292,0.009199966906593861,0.027999668956385008,0.019822002741644064,0.001200033163829317,0.0022841816733350315,0.0026369308178346364,0,0,0.01337935738815449,0.0039191127504712014,0.008300129926375055,0.008900036886757653,0.005099962930927963,0.004700111482720179,0.03540022630214987,0.016800626785878882,0.02281650366873054,0.009999999999999998,0.009000175467639641
ALB,0.007239762043491083,0.011000000000000001,0.027698695136417553,0.005895648655370464,0.026500326868598826,0.039701427163558053,0.02676858596372953,0.01951620693738291,0.035959106114479465,0.003399998403019818,0.0028999599186497037,0.0030000476009139376,0.004260561507234293,0.004001138513084054,1.617549563876932e-4,0.0020543060103069936,3.000032981892941e-4,0.0014000432018078295,0.0022000396746677245,0.02790025381294523,0.02715032727703064,0.04004466783480785,0.022315693164717983,0.048899514545388184,0.03269892585253936,0.04981173661315645,0.05049582574999316,0,0.011000000000000001,0.0629746263877777,0.002200041343058796,0.041904254628303085,1e-4,9.999999999999999e-5,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.0016999777047388216,0.0016999936612885137,0.0024072095997130036,6.999896371946098e-4,6e-4,7e-4,0.001699978196089832,0.0015000412524235798,0.001338244595567633,4e-4,0.0011999618302399925,0.002899976986049162,6.99996691365883e-4,0.0011634850756025352,0.035699820034865305,0.040000400638350433,0.015900264468323367,0.017199848969819707,0.029963227442398842,0.0201036807157899,8.999964675544879e-4,0.0023000273747604705,0.0026369308178346364,0,0,0.012899991176451808,0.0037922393762301514,0.006400035276479407,0.00420000944777741,0.0065999953485126875,0.004800211602891906,0.03539998993102754,0.01680055885434859,0.016000581887431232,0.009999999999999998,0.009000175467639641
ARE,0.024466791721475437,0.011000142424885407,0.024037414612879244,0.0221,0.026500029502973237,0.037529792881986615,0.02676858596372953,0.01951620693738291,0.035959106114479465,0.0034000474021014934,0.0028999807835829237,0.0029999769569325064,0.004260561507234293,0.0027000481695568395,1.617549563876932e-4,0.0020543060103069936,3.000002122092468e-4,0.0013999902666926222,0.002199953545475661,0.02789965920532879,0.0355,0.03081582651344199,0.044792798968493044,0.04890096520399059,0.032700303250682655,0.04981173661315645,0.05049582574999316,0,0.010999621209193022,0.06730114097225978,0.0022000512295081965,0.041904254628303085,1.0000121463882713e-4,1e-4,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.0016999949273891997,0.0016999923992355804,0.003869460373166747,6.999950993604665e-4,6.000021271391042e-4,7.00007825950853e-4,0.0016999978195931362,0.0014999947773588057,0.001338244595567633,4.0000788581342166e-4,0.0012000000000000001,0.002900023874895547,7.000024981056032e-4,0.0013371493858152703,0.03569993886996769,0.039999999999999994,0.019257078274595003,0.01719987496311704,0.03707790115500917,0.020082146170786467,9.000298062593144e-4,0.002299981750159686,0.0026369308178346364,0,0,0.012982218316521533,0.0036727776308568146,0.0064000361206429475,0.004200024546059388,0.006600010267994661,0.004800074680275073,0.03540011088523378,0.016800132728680455,0.01600024893425024,0.009999999999999998,0.009000175467639641
ARG,0.012202001758875106,0.016000149551578937,0.024037414612879244,0.020308046903756153,0.026500029502973237,0.030700143789403826,0.02676858596372953,0.01951620693738291,0.035959106114479465,0.0034000926395659175,0.0039000467071461935,0.00280000460858695,0.004260561507234293,0.004001138513084054,1.617549563876932e-4,0.0020543060103069936,2.3732213310069075e-4,0.004399975626104441,0.002200018249840314,0.028300888185910696,0.02715032727703064,0.03188535631211023,0.03430662805903591,0.03575225048162941,0.028185178483178298,0.04981173661315645,0.05049582574999316,0,0.011000021935115926,0.07750024333268445,0.0022000219002080517,0.041904254628303085,0.0018732525475628889,0.001127316534247428,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.001699999469926267,9.999974874434988e-4,0.0025147586162927137,6.323915107424004e-4,0.001,7.608636485118587e-4,0.0018517505678222058,0.0016000052847605123,0.001338244595567633,0.0010374158777329743,9.190909808033869e-4,0.0030397426945755163,9.278393167385746e-4,0.001332960619936527,0.04299953951662134,0.027000444872840517,0.025000317262909428,0.015799962815942176,0.027212276656171656,0.027253499310341434,8.632921740660768e-4,0.0023000365007908503,0.0011000110607233711,0,0,0.014399823157172363,0.003671587938711971,0.050000606317831806,0.004999770210028035,0.005,0.0029998942022852306,0.01800033692722372,0.016999861744780864,0.017000440833805655,0.009999999999999998,0.009000175467639641
ARM,0.024466943875104796,0.010999976451749634,0.024037414612879244,0.022099474401401593,0.026499680627794505,0.03970043800187715,0.02676858596372953,0.01951620693738291,0.036299284809238164,0.003399998403019818,0.0028999552870330194,0.002563708382379622,0.004260561507234293,0.004001138513084054,1.617549563876932e-4,0.0020543060103069936,2.9999767451501e-4,0.0014000216833508004,0.0022000435824798435,0.03020404793788886,0.02715032727703064,0.04074473817419844,0.03441385112388311,0.03575225048162941,0.032699294898382414,0.04981173661315645,0.05049582574999316,0,0.010999844018093901,0.0672997372007008,0.0022000140385357806,0.041904254628303085,9.999999999999999e-5,0.001127316534247428,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.0016999827059867361,0.0016999976338641365,0.0025384523079542984,6.999970610997364e-4,6.00002664251079e-4,7.000012082110019e-4,0.0017000619706672175,0.0015000076655372774,0.001338244595567633,4.000024321185577e-4,0.0012000055052437447,0.002899926465672839,6.999833547111063e-4,0.001556064325832084,0.035698825632217615,0.04,0.01589995533720411,0.017200078926598264,0.029963227442398842,0.021036190290884327,9.000101698362656e-4,0.002300032850312078,0.0026369308178346364,0,0,0.012920484814130904,0.0038109055962981227,0.006399824381677155,0.004199980789549515,0.006599939643899004,0.004799971146216548,0.03540069788153534,0.01477058390104064,0.016000581887431232,0.009999999999999998,0.009000175467639641
ATG,0.012202322392378968,0.016000027573180947,0.024037414612879244,0.02030807982376877,0.026500029502973237,0.030700357650286607,0.02676858596372953,0.01951620693738291,0.035959106114479465,0.0034,0.0038999046397685047,0.0027999430797417246,0.00239998704075682,0.004001138513084054,1.617549563876932e-4,0.0020543060103069936,2.3732213310069075e-4,0.0044,0.0021999830235124355,0.02829904538261269,0.03700010579771477,0.04074473817419844,0.033604854298014665,0.04200152636294256,0.03270047940727828,0.04981173661315645,0.05049582574999316,0,0.011,0.0629746263877777,0.002199925512104283,0.041904254628303085,0.0018732525475628889,0.001127316534247428,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.0017000043934249256,0.0010000055215367539,0.0035951598644224374,6.323915107424004e-4,0.001,7.608636485118587e-4,0.001699978196089832,0.0016,0.0015999999999999999,0.0010374158777329743,9.190909808033869e-4,0.002900011460004584,9.278393167385746e-4,4.4798514922653925e-4,0.042999913626225114,0.02699930682139098,0.024999885552620615,0.015799526738677315,0.029963227442398842,0.023189408945641025,8.632921740660768e-4,0.0022999665419594245,0.0010999938135400984,0,0,0.01250920059084792,0.0038161607395907275,0.05,0.004999944349839171,0.0049999673366998305,0.0030000129160585357,0.01799981750159686,0.016999910801890998,0.016999925073053774,0.009999999999999998,0.009000175467639641
AUS,0.00723991640529574,0.010999845110543933,0.024037414612879244,0.005895670888454279,0.026500513288468117,0.03970093017779347,0.02676858596372953,0.01951620693738291,0.035959106114479465,0.0033999604977286197,0.002900029174555871,0.002999968316329763,0.004260561507234293,0.003350226994182735,1.617549563876932e-4,0.0020543060103069936,2.999996059377303e-4,0.0013999991951483544,0.0021999807895495154,0.027899747543875655,0.03549952093440603,0.04286055555409874,0.04081826004349833,0.0488996242619431,0.03270001629460649,0.04981173661315645,0.05049582574999316,0,0.010999902511942286,0.0629746263877777,0.0021999254473161036,0.041904254628303085,1e-4,9.999999999999999e-5,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.001699945293197798,0.001700001664253499,0.003759723103401136,6.999887418748926e-4,6e-4,7.000103302227884e-4,0.001699960753532182,0.0014999964795426222,0.001338244595567633,4.000051901916911e-4,0.001199986475215833,0.002899959889904704,7.00005728361116e-4,0.0017331295082657387,0.03570000507755972,0.03999983464651559,0.015900074678522606,0.01719998264947604,0.02899940888817239,0.020359619517953943,9.000000000000001e-4,0.002300027374760471,0.0026369308178346364,0,0,0.012900146082002822,0.0037046426294923118,0.006400015647003599,0.004200065357951495,0.006599956695227195,0.0048,0.03540008772479478,0.01680014000700035,0.01600013183481098,0.009999999999999998,0.009000175467639641
AUT,0.00723996310412167,0.010999583424252642,0.027700637233282137,0.005895671776054501,0.026499891798312056,0.03970033676823489,0.02676858596372953,0.01951620693738291,0.035959106114479465,0.003399998403019818,0.002899966192103978,0.0029999324073135283,0.004260561507234293,0.004001138513084054,1.617549563876932e-4,0.0020543060103069936,3.000007982990907e-4,0.001400004063086185,0.002199987304408544,0.027899337239458265,0.035498951619165955,0.03578022000932818,0.029987151132060953,0.0488996563427181,0.03269963500400606,0.05,0.05049582574999316,0,0.011000758869284765,0.06730026813415131,0.0022000308451573104,0.04339955668664314,1e-4,1e-4,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.0017000055708122448,0.0017000137191049368,0.003131978592049887,7.0000408880893e-4,6.000000000000001e-4,7.000056449336721e-4,0.0016999476713762428,0.0014999975731336186,0.001338244595567633,4.000018333640167e-4,0.0012000064186912288,0.002899954159981664,7.00025439382376e-4,0.0011862947519900558,0.03570001930473263,0.03999958991183104,0.01589991098702383,0.017200064763343945,0.03055230186678813,0.020228311201587395,8.999946059658018e-4,0.0023000194098459995,0.0026369308178346364,0,0,0.01292979194928597,0.003755037158990469,0.0064000435303079774,0.0042000935352735904,0.006600019133263179,0.0048000774143603635,0.0353994801001816,0.016799737315083645,0.01599969334559951,0.01,0.009000175467639641
AZE,0.024466858094164302,0.011000033796343237,0.027700113151074932,0.02209998387688803,0.02649892933618844,0.039701427163558053,0.02676858596372953,0.01951620693738291,0.0352081255577135,0.003399998403019818,0.002899999932435582,0.002563708382379622,0.004260561507234293,0.004001138513084054,1.617549563876932e-4,0.0020543060103069936,3.000031528221396e-4,0.0013999821953173685,0.0021999328398522476,0.03020404793788886,0.02715032727703064,0.04074473817419844,0.030939492978379758,0.03575225048162941,0.03270066395522648,0.04981173661315645,0.05049582574999316,0,0.010999508668491614,0.0629746263877777,0.0021999756671262877,0.041904254628303085,9.999999999999999e-5,0.001127316534247428,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.0017000016276975875,0.0017000056177104803,0.0020605923259997493,6.999938510729877e-4,5.999905691516952e-4,7.000295159386068e-4,0.0017000071358911537,0.0014999886392038355,0.001338244595567633,3.9998739204438e-4,0.0011999856863399972,0.002899926465672839,6.999879866619479e-4,0.001255168085047321,0.03570013487409281,0.0399998854380277,0.01589999508333743,0.017200117543344107,0.029963227442398842,0.02033979776767843,9.000062904950619e-4,0.0023000365007908503,0.0026369308178346364,0,0,0.012904519739616711,0.00375415550367131,0.006400339540559181,0.0042000320179300405,0.006599876271652461,0.004800044434570095,0.03540022630214987,0.01477058390104064,0.02281650366873054,0.009999999999999998,0.009000175467639641
BEL,0.007239863968084819,0.01100009934904776,0.02769996871415163,0.005895663861084263,0.026499560246262092,0.03969940955448202,0.02676858596372953,0.01951620693738291,0.035959106114479465,0.003399998403019818,0.0029000136920969036,0.002563708382379622,0.004260561507234293,0.004001138513084054,1.617549563876932e-4,0.0020543060103069936,3.000010549130955e-4,0.0014000101038167167,0.0022000579374275783,0.02790003893322951,0.03550063410560178,0.03237436934306262,0.03448568037181152,0.0489013261954009,0.03269964868523109,0.04981173661315645,0.06080227762163741,0,0.011000051802735184,0.0629746263877777,0.0022000208572322453,0.041904254628303085,1.0000292000642401e-4,9.999999999999999e-5,4.5117897283168985e-5,0.0019337079648730285,0.0020856686903107688,0,2.517797974528518e-4,0,6.475483638719394e-4,0,0.0014472901390814698,2.763023844345975e-4,9.027090185333346e-5,0.0016999586367798035,0.0017000202142712756,0.003357388161914981,7.000244741282702e-4,5.999898987348165e-4,7.000091824553885e-4,0.0017000274736057145,0.0015000092433401734,0.001399990718396139,4.0000934101112553e-4,0.0011999876072745297,0.0028999150622876554,6.999924853195351e-4,0.0014293319902807175,0.03569982222434809,0.03999937797406152,0.015899972708538632,0.017199931688499558,0.03807279010640243,0.020559608687075508,9.000170744200795e-4,0.0023000074730478628,0.0026369308178346364,0,0,0.012902830072051463,0.003705353305800681,0.006400017005115706,0.0041999809481472064,0.006600042983021706,0.004799852380366589,0.0353993348019524,0.01679982303168839,0.01599965950409203,0.01,0.009000175467639641
